Orthogroup,A. terricola,I. cascadensis 1,I. cascadensis 2,D. discoideum,V. vermiformis,Total,incendi_only,not_incendi,both_incendi,incendi_only,both_incendi_only
OG0000000,0,126,131,0,0,257,128.5,0,TRUE,TRUE,TRUE
OG0000001,1,88,80,0,9,178,168,10,TRUE,FALSE,FALSE
OG0000002,0,3,166,0,0,169,169,0,TRUE,TRUE,TRUE
OG0000003,3,80,47,1,3,134,127,7,TRUE,FALSE,FALSE
OG0000004,0,41,79,0,0,120,120,0,TRUE,TRUE,TRUE
OG0000005,0,64,35,0,0,99,99,0,TRUE,TRUE,TRUE
OG0000006,0,0,0,93,0,93,0,93,FALSE,FALSE,FALSE
OG0000007,90,0,0,0,0,90,0,90,FALSE,FALSE,FALSE
OG0000008,1,60,27,0,1,89,87,2,TRUE,FALSE,FALSE
OG0000009,0,87,0,0,0,87,87,0,FALSE,TRUE,FALSE
OG0000010,0,86,0,0,0,86,86,0,FALSE,TRUE,FALSE
OG0000011,0,1,83,0,0,84,84,0,TRUE,TRUE,TRUE
OG0000012,19,11,9,29,14,82,20,62,TRUE,FALSE,FALSE
OG0000013,0,9,72,0,0,81,81,0,TRUE,TRUE,TRUE
OG0000014,0,0,81,0,0,81,81,0,FALSE,TRUE,FALSE
OG0000015,0,40,40,0,0,80,80,0,TRUE,TRUE,TRUE
OG0000016,0,0,76,0,0,76,76,0,FALSE,TRUE,FALSE
OG0000017,0,0,0,75,0,75,0,75,FALSE,FALSE,FALSE
OG0000018,0,0,0,75,0,75,0,75,FALSE,FALSE,FALSE
OG0000019,0,0,0,1,72,73,0,73,FALSE,FALSE,FALSE
OG0000020,8,6,6,16,34,70,12,58,TRUE,FALSE,FALSE
OG0000021,0,34,36,0,0,70,70,0,TRUE,TRUE,TRUE
OG0000022,0,69,0,0,0,69,69,0,FALSE,TRUE,FALSE
OG0000023,0,0,67,0,0,67,67,0,FALSE,TRUE,FALSE
OG0000024,0,65,0,0,0,65,65,0,FALSE,TRUE,FALSE
OG0000025,0,59,1,0,0,60,60,0,TRUE,TRUE,TRUE
OG0000026,0,3,2,54,1,60,5,55,TRUE,FALSE,FALSE
OG0000027,0,59,0,0,0,59,59,0,FALSE,TRUE,FALSE
OG0000028,0,4,55,0,0,59,59,0,TRUE,TRUE,TRUE
OG0000029,0,24,34,0,0,58,58,0,TRUE,TRUE,TRUE
OG0000030,0,4,54,0,0,58,58,0,TRUE,TRUE,TRUE
OG0000031,0,56,1,0,0,57,57,0,TRUE,TRUE,TRUE
OG0000032,0,0,0,57,0,57,0,57,FALSE,FALSE,FALSE
OG0000033,0,0,56,0,0,56,56,0,FALSE,TRUE,FALSE
OG0000034,0,25,27,0,3,55,52,3,TRUE,FALSE,FALSE
OG0000035,0,25,21,0,9,55,46,9,TRUE,FALSE,FALSE
OG0000036,0,2,52,0,0,54,54,0,TRUE,TRUE,TRUE
OG0000037,0,1,53,0,0,54,54,0,TRUE,TRUE,TRUE
OG0000038,0,1,52,0,0,53,53,0,TRUE,TRUE,TRUE
