"label_B","label_C","n_total","n_up","n_down","pct_up","pct_down","net_bias","mean_lfc","padj_down","padj_up","sig_down","sig_up"
"Folding, sorting and degradation","SNARE interactions in vesicular transport",12,12,0,100,0,100,0.0537755205835383,1,0.00632039666393644,FALSE,TRUE
"Transport and catabolism","Autophagy - other",15,13,2,86.6666666666667,13.3333333333333,73.3333333333333,0.0288169942786512,1,0.03998296220113,FALSE,TRUE
"Signal transduction","TNF signaling pathway",11,9,2,81.8181818181818,18.1818181818182,63.6363636363636,0.0197231808691019,1,0.188694756849259,FALSE,FALSE
"Translation","Ribosome biogenesis in eukaryotes",26,21,5,80.7692307692308,19.2307692307692,61.5384615384615,0.0295525032802463,1,0.0209452654729949,FALSE,TRUE
"Replication and repair","Homologous recombination",24,19,5,79.1666666666667,20.8333333333333,58.3333333333333,0.0288471292342017,1,0.03836312637122,FALSE,TRUE
"Replication and repair","Fanconi anemia pathway",21,16,5,76.1904761904762,23.8095238095238,52.3809523809524,0.033513380070455,1,0.0958135864513113,FALSE,FALSE
"Protein families: signaling and cellular processes","Cilium and associated proteins",16,12,4,75,25,50,0.0101948687950546,1,0.210828733666656,FALSE,FALSE
"Chromosome","ATP-dependent chromatin remodeling",22,16,6,72.7272727272727,27.2727272727273,45.4545454545455,0.00635727428446712,1,0.175229761685822,FALSE,FALSE
"Protein families: genetic information processing","Ribosome biogenesis",119,86,33,72.2689075630252,27.7310924369748,44.5378151260504,0.0243371486452125,1,6.54224022431488e-05,FALSE,TRUE
"Signaling molecules and interaction","Hormone signaling",14,10,4,71.4285714285714,28.5714285714286,42.8571428571429,0.0177015240060365,1,0.361976113787708,FALSE,FALSE
"Transport and catabolism","Mitophagy - yeast",14,10,4,71.4285714285714,28.5714285714286,42.8571428571429,0.00631201789318903,1,0.361976113787708,FALSE,FALSE
"Protein families: genetic information processing","Transcription machinery",84,60,24,71.4285714285714,28.5714285714286,42.8571428571429,0.0235271626999481,1,0.00173130347699532,FALSE,TRUE
"Protein families: genetic information processing","Chaperones and folding catalysts",69,48,21,69.5652173913043,30.4347826086957,39.1304347826087,0.0309536635001176,1,0.0131330093294523,FALSE,TRUE
"Transcription","Basal transcription factors",13,9,4,69.2307692307692,30.7692307692308,38.4615384615385,0.0318108231029723,1,0.457478702097142,FALSE,FALSE
"Signal transduction","AMPK signaling pathway",29,20,9,68.9655172413793,31.0344827586207,37.9310344827586,0.0076302353745436,1,0.180536009662708,FALSE,FALSE
"Protein families: genetic information processing","DNA repair and recombination proteins",128,88,40,68.75,31.25,37.5,0.0202863020970258,1,0.000563839142066749,FALSE,TRUE
"Transport and catabolism","Autophagy - animal",51,34,17,66.6666666666667,33.3333333333333,33.3333333333333,0.00385029235032361,1,0.0886417091821545,FALSE,FALSE
"Protein families: genetic information processing","Spliceosome (BRITE)",123,80,43,65.0406504065041,34.9593495934959,30.0813008130081,0.016862467428916,1,0.0101184595304394,FALSE,TRUE
"Translation","mRNA surveillance pathway",28,18,10,64.2857142857143,35.7142857142857,28.5714285714286,0.00437086006374795,1,0.361976113787708,FALSE,FALSE
"Signal transduction","Phosphatidylinositol signaling system",28,18,10,64.2857142857143,35.7142857142857,28.5714285714286,0.0031336669100843,1,0.361976113787708,FALSE,FALSE
"Signal transduction","JAK-STAT signaling pathway",14,9,5,64.2857142857143,35.7142857142857,28.5714285714286,0.0183097850295399,1,0.586628611303085,FALSE,FALSE
"Signal transduction","cGMP-PKG signaling pathway",25,16,9,64,36,28,0.0116582251649438,1,0.414982254718741,FALSE,FALSE
"Transcription","Spliceosome (pathway)",55,35,20,63.6363636363636,36.3636363636364,27.2727272727273,0.011228140070371,1,0.176520216366429,FALSE,FALSE
"Folding, sorting and degradation","RNA degradation",27,17,10,62.962962962963,37.037037037037,25.9259259259259,0.00979043535055623,1,0.435340444476918,FALSE,FALSE
"Protein families: genetic information processing","Ubiquitin system",142,89,53,62.6760563380282,37.3239436619718,25.3521126760563,0.00847309925705414,1,0.0209452654729949,FALSE,TRUE
"Protein families: genetic information processing","Chromosome and associated proteins",230,144,86,62.6086956521739,37.3913043478261,25.2173913043478,0.00852907646285831,1,0.00197905282636755,FALSE,TRUE
"Replication and repair","Base excision repair",24,15,9,62.5,37.5,25,0.0112911096628892,1,0.500680894485506,FALSE,FALSE
"Folding, sorting and degradation","Protein processing in endoplasmic reticulum",45,28,17,62.2222222222222,37.7777777777778,24.4444444444444,0.0177692703484937,1,0.28993931607573,FALSE,FALSE
"Protein families: metabolism","Protein phosphatases and associated proteins",64,39,25,60.9375,39.0625,21.875,0.010354914161238,1,0.251335960016105,FALSE,FALSE
"Cell growth and death","Cellular senescence",35,21,14,60,40,20,-0.00468114412165916,1,0.500680894485506,FALSE,FALSE
"Cell growth and death","Cell cycle - yeast",37,22,15,59.4594594594595,40.5405405405405,18.9189189189189,0.00774884856701116,1,0.500680894485506,FALSE,FALSE
"Protein families: genetic information processing","Membrane trafficking",317,187,130,58.9905362776025,41.0094637223975,17.981072555205,0.00548501827931677,1,0.0123682837887649,FALSE,TRUE
"Carbohydrate metabolism","Inositol phosphate metabolism",28,16,12,57.1428571428571,42.8571428571429,14.2857142857143,-0.00356862073691635,1,0.730010407493028,FALSE,FALSE
"Amino acid metabolism","Lysine degradation",14,8,6,57.1428571428571,42.8571428571429,14.2857142857143,0.000932138556232121,1,0.898699115041174,FALSE,FALSE
"Cell growth and death","Meiosis - yeast",35,20,15,57.1428571428571,42.8571428571429,14.2857142857143,0.00445914443265442,1,0.661925589844363,FALSE,FALSE
"Cellular community - eukaryotes","Focal adhesion",42,24,18,57.1428571428571,42.8571428571429,14.2857142857143,0.00279244342500432,1,0.592179666174415,FALSE,FALSE
"Signal transduction","cAMP signaling pathway",38,21,17,55.2631578947368,44.7368421052632,10.5263157894737,-0.00159174049642066,1,0.757610593738124,FALSE,FALSE
"Signal transduction","mTOR signaling pathway",49,27,22,55.1020408163265,44.8979591836735,10.204081632653,-0.00140196298936588,1,0.727620063165197,FALSE,FALSE
"Protein families: metabolism","Protein kinases",113,62,51,54.8672566371681,45.1327433628319,9.73451327433629,0.00379226726061108,1,0.500680894485506,FALSE,FALSE
"Folding, sorting and degradation","Protein export",13,7,6,53.8461538461538,46.1538461538462,7.69230769230769,0.0085869757815373,1,1,FALSE,FALSE
"Protein families: genetic information processing","Transfer RNA biogenesis",78,42,36,53.8461538461538,46.1538461538462,7.69230769230769,0.0012164565019685,1,0.727620063165197,FALSE,FALSE
"Signal transduction","Apelin signaling pathway",28,15,13,53.5714285714286,46.4285714285714,7.14285714285714,-0.00967103830065534,1,0.952602696339884,FALSE,FALSE
"Cellular community - eukaryotes","Signaling pathways regulating pluripotency of stem cells",15,8,7,53.3333333333333,46.6666666666667,6.66666666666667,-0.0150653733529443,1,1,FALSE,FALSE
"Signal transduction","MAPK signaling pathway - yeast",17,9,8,52.9411764705882,47.0588235294118,5.88235294117648,-0.00545352162268838,1,1,FALSE,FALSE
"Transport and catabolism","Autophagy - yeast",40,21,19,52.5,47.5,5,-0.00937703826315847,1,0.967164439597222,FALSE,FALSE
"Protein families: genetic information processing","DNA replication proteins",61,32,29,52.4590163934426,47.5409836065574,4.91803278688525,0.00553844137666239,1,0.898699115041174,FALSE,FALSE
"Transport and catabolism","Endocytosis",52,27,25,51.9230769230769,48.0769230769231,3.84615384615385,-0.000793839172018956,1,0.972225558686639,FALSE,FALSE
"Cell growth and death","Oocyte meiosis",27,14,13,51.8518518518518,48.1481481481481,3.7037037037037,-0.00200776489270589,1,1,FALSE,FALSE
"Protein families: genetic information processing","Transcription factors",29,15,14,51.7241379310345,48.2758620689655,3.44827586206897,-0.0137186767106085,1,1,FALSE,FALSE
"Signal transduction","FoxO signaling pathway",31,16,15,51.6129032258064,48.3870967741936,3.2258064516129,-0.00871125971259397,1,1,FALSE,FALSE
"Signal transduction","Phospholipase D signaling pathway",33,17,16,51.5151515151515,48.4848484848485,3.03030303030303,-0.0048472696534765,1,1,FALSE,FALSE
"Cell growth and death","Cell cycle",39,20,19,51.2820512820513,48.7179487179487,2.56410256410256,-0.00326979043540137,1,1,FALSE,FALSE
"Signal transduction","PI3K-Akt signaling pathway",57,29,28,50.8771929824561,49.1228070175439,1.75438596491229,-0.00453789049074067,1,1,FALSE,FALSE
"Protein families: genetic information processing","Messenger RNA biogenesis",136,69,67,50.7352941176471,49.2647058823529,1.47058823529412,-0.00205439432746788,1,0.982081096175098,FALSE,FALSE
"Amino acid metabolism","Arginine and proline metabolism",14,7,7,50,50,0,-0.00206604947754001,1,1,FALSE,FALSE
"Signal transduction","ErbB signaling pathway",26,13,13,50,50,0,-0.0117604581149051,1,1,FALSE,FALSE
"Signal transduction","TGF-beta signaling pathway",10,5,5,50,50,0,0.00114896348217154,1,1,FALSE,FALSE
"Cell growth and death","Necroptosis",20,10,10,50,50,0,-0.0106367981534379,1,1,FALSE,FALSE
NA,NA,3588,1756,1832,48.9409141583055,51.0590858416945,-2.11817168338907,0.00106075846722723,0.534635504478008,1,FALSE,FALSE
"Replication and repair","Nucleotide excision repair",28,13,15,46.4285714285714,53.5714285714286,-7.14285714285714,0.0044806258347615,0.979324655133684,1,FALSE,FALSE
"Transcription","RNA polymerase",13,6,7,46.1538461538462,53.8461538461538,-7.69230769230769,0.00510360929556609,1,1,FALSE,FALSE
"Folding, sorting and degradation","Ubiquitin mediated proteolysis",39,18,21,46.1538461538462,53.8461538461538,-7.69230769230769,-0.00522017299767193,0.898699115041174,1,FALSE,FALSE
"Signal transduction","MAPK signaling pathway",50,23,27,46,54,-8,-0.00693965007891859,0.839518892894774,1,FALSE,FALSE
"Cell motility","Motor proteins",27,12,15,44.4444444444444,55.5555555555556,-11.1111111111111,-0.0188483039318107,0.858801696197258,1,FALSE,FALSE
"Signal transduction","Rap1 signaling pathway",41,18,23,43.9024390243902,56.0975609756098,-12.1951219512195,-0.0164531789958859,0.730010407493028,1,FALSE,FALSE
"Protein families: signaling and cellular processes","Cytoskeleton proteins",85,37,48,43.5294117647059,56.4705882352941,-12.9411764705882,-0.0191577530201881,0.500680894485506,1,FALSE,FALSE
"Protein families: genetic information processing","Mitochondrial biogenesis",74,32,42,43.2432432432432,56.7567567567568,-13.5135135135135,-0.00658654829196167,0.500680894485506,1,FALSE,FALSE
"Translation","Nucleocytoplasmic transport",44,19,25,43.1818181818182,56.8181818181818,-13.6363636363636,-0.007519422949307,0.659289498824762,1,FALSE,FALSE
"Cellular community - eukaryotes","Gap junction",21,9,12,42.8571428571429,57.1428571428571,-14.2857142857143,-0.0188994623074251,0.825114569586564,1,FALSE,FALSE
"Signal transduction","MAPK signaling pathway - fly",26,11,15,42.3076923076923,57.6923076923077,-15.3846153846154,-0.0212677354614741,0.735642857651257,1,FALSE,FALSE
"Transport and catabolism","Efferocytosis",26,11,15,42.3076923076923,57.6923076923077,-15.3846153846154,-0.0116832084074745,0.735642857651257,1,FALSE,FALSE
"Signal transduction","Ras signaling pathway",46,19,27,41.304347826087,58.695652173913,-17.3913043478261,-0.0167247598086587,0.500680894485506,1,FALSE,FALSE
"Carbohydrate metabolism","Pyruvate metabolism",17,7,10,41.1764705882353,58.8235294117647,-17.6470588235294,-0.016617029310619,0.787616420149113,1,FALSE,FALSE
"Protein families: genetic information processing","Translation factors",42,17,25,40.4761904761905,59.5238095238095,-19.047619047619,-0.003254535585586,0.500680894485506,1,FALSE,FALSE
"Replication and repair","DNA replication",20,8,12,40,60,-20,-0.00575450054586595,0.709003182217972,1,FALSE,FALSE
"Transport and catabolism","Mitophagy - animal",15,6,9,40,60,-20,-0.0309520402169666,0.766325325310462,1,FALSE,FALSE
"Cell growth and death","Apoptosis - fly",15,6,9,40,60,-20,-0.0327069678772267,0.766325325310462,1,FALSE,FALSE
"Transport and catabolism","Phagosome",28,11,17,39.2857142857143,60.7142857142857,-21.4285714285714,-0.0184916524737357,0.539390385065504,1,FALSE,FALSE
"Protein families: signaling and cellular processes","GTP-binding proteins",36,14,22,38.8888888888889,61.1111111111111,-22.2222222222222,-0.0185815752690021,0.457478702097142,1,FALSE,FALSE
"Replication and repair","Mismatch repair",13,5,8,38.4615384615385,61.5384615384615,-23.0769230769231,-0.0106631171387507,0.752670593662333,1,FALSE,FALSE
"Cell motility","Regulation of actin cytoskeleton",60,23,37,38.3333333333333,61.6666666666667,-23.3333333333333,-0.0220668806708851,0.257416353395875,1,FALSE,FALSE
"Translation","Aminoacyl-tRNA biosynthesis",21,8,13,38.0952380952381,61.9047619047619,-23.8095238095238,-0.0175926282020091,0.572219950799742,1,FALSE,FALSE
"Signal transduction","Calcium signaling pathway",21,8,13,38.0952380952381,61.9047619047619,-23.8095238095238,-0.00953967175820672,0.572219950799742,1,FALSE,FALSE
"Protein families: signaling and cellular processes","Domain-containing proteins not elsewhere classified",38,14,24,36.8421052631579,63.1578947368421,-26.3157894736842,-0.0191803996589063,0.339454070154273,1,FALSE,FALSE
"Protein families: metabolism","Peptidases and inhibitors",107,39,68,36.4485981308411,63.5514018691589,-27.1028037383178,-0.014901169716874,0.0400738775839382,1,TRUE,FALSE
"Protein families: metabolism","Prenyltransferases",11,4,7,36.3636363636364,63.6363636363636,-27.2727272727273,-0.0107509741942501,0.730222002295926,1,FALSE,FALSE
"Cell growth and death","Apoptosis",25,9,16,36,64,-28,-0.0451711519437614,0.435891444081133,1,FALSE,FALSE
"Signal transduction","HIF-1 signaling pathway",17,6,11,35.2941176470588,64.7058823529412,-29.4117647058823,-0.0148486445448101,0.532581942337146,1,FALSE,FALSE
"Signal transduction","Sphingolipid signaling pathway",40,14,26,35,65,-30,-0.0271749449461733,0.234610023115256,1,FALSE,FALSE
"Energy metabolism","Oxidative phosphorylation",23,8,15,34.7826086956522,65.2173913043478,-30.4347826086957,-0.019730323147182,0.414982254718741,1,FALSE,FALSE
"Lipid metabolism","Glycerolipid metabolism",12,4,8,33.3333333333333,66.6666666666667,-33.3333333333333,-0.0228210996399379,0.572219950799742,1,FALSE,FALSE
"Lipid metabolism","Glycerophospholipid metabolism",21,7,14,33.3333333333333,66.6666666666667,-33.3333333333333,-0.0188642008695122,0.384146432236459,1,FALSE,FALSE
"Glycan biosynthesis and metabolism","Amino sugar and nucleotide sugar metabolism",15,5,10,33.3333333333333,66.6666666666667,-33.3333333333333,-0.0200952804014476,0.500680894485506,1,FALSE,FALSE
"Metabolism of cofactors and vitamins","Folate biosynthesis",12,4,8,33.3333333333333,66.6666666666667,-33.3333333333333,-0.0185260357059269,0.572219950799742,1,FALSE,FALSE
"Cell motility","Cytoskeleton in muscle cells",15,5,10,33.3333333333333,66.6666666666667,-33.3333333333333,-0.0261267358141776,0.500680894485506,1,FALSE,FALSE
"Protein families: genetic information processing","Ribosome (BRITE)",51,17,34,33.3333333333333,66.6666666666667,-33.3333333333333,-0.0140581149123327,0.0990980430071767,1,FALSE,FALSE
"Translation","Ribosome (pathway)",52,17,35,32.6923076923077,67.3076923076923,-34.6153846153846,-0.0145750570464581,0.0838022804730683,1,FALSE,FALSE
"Protein families: metabolism","Glycosyltransferases",22,7,15,31.8181818181818,68.1818181818182,-36.3636363636364,-0.015476649914022,0.317655590087601,1,FALSE,FALSE
"Glycan biosynthesis and metabolism","N-Glycan biosynthesis",19,6,13,31.578947368421,68.421052631579,-36.8421052631579,-0.0223371417741141,0.361976113787708,1,FALSE,FALSE
"Transport and catabolism","Peroxisome",32,10,22,31.25,68.75,-37.5,-0.0202905892888372,0.176520216366429,1,FALSE,FALSE
"Protein families: genetic information processing","Proteasome (BRITE)",32,10,22,31.25,68.75,-37.5,-0.016796651560359,0.176520216366429,1,FALSE,FALSE
"Signaling molecules and interaction","IgSF CAM signaling",45,14,31,31.1111111111111,68.8888888888889,-37.7777777777778,-0.030035658900391,0.0804415412688486,1,FALSE,FALSE
"Cellular community - eukaryotes","Adherens junction",23,7,16,30.4347826086957,69.5652173913043,-39.1304347826087,-0.0292801128358587,0.255749881933534,1,FALSE,FALSE
"Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",10,3,7,30,70,-40,-0.0246168146700814,0.534635504478008,1,FALSE,FALSE
"Signal transduction","Wnt signaling pathway",20,6,14,30,70,-40,-0.0240900924531853,0.287727463120838,1,FALSE,FALSE
"Protein families: metabolism","Amino acid related enzymes",27,8,19,29.6296296296296,70.3703703703704,-40.7407407407407,-0.0237222863486946,0.178673702628195,1,FALSE,FALSE
"Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",14,4,10,28.5714285714286,71.4285714285714,-42.8571428571429,-0.023876952541191,0.366989684860529,1,FALSE,FALSE
"Metabolism of terpenoids and polyketides","Terpenoid backbone biosynthesis",14,4,10,28.5714285714286,71.4285714285714,-42.8571428571429,-0.0258639120622204,0.366989684860529,1,FALSE,FALSE
"Signal transduction","MAPK signaling pathway - plant",14,4,10,28.5714285714286,71.4285714285714,-42.8571428571429,-0.0238165739705738,0.366989684860529,1,FALSE,FALSE
"Signal transduction","VEGF signaling pathway",21,6,15,28.5714285714286,71.4285714285714,-42.8571428571429,-0.0324524321344965,0.227901818942373,1,FALSE,FALSE
"Protein families: signaling and cellular processes","Exosome",161,46,115,28.5714285714286,71.4285714285714,-42.8571428571429,-0.0294526500726855,1.05712230197102e-05,1,TRUE,FALSE
"Protein families: signaling and cellular processes","Transporters",95,26,69,27.3684210526316,72.6315789473684,-45.2631578947368,-0.0291930780730822,0.000563839142066749,1,TRUE,FALSE
"Metabolism of other amino acids","beta-Alanine metabolism",11,3,8,27.2727272727273,72.7272727272727,-45.4545454545455,-0.0212407574997339,0.435340444476918,1,FALSE,FALSE
"Carbohydrate metabolism","Propanoate metabolism",15,4,11,26.6666666666667,73.3333333333333,-46.6666666666667,-0.0144646533543054,0.288686672182552,1,FALSE,FALSE
"Cellular community - eukaryotes","Tight junction",31,8,23,25.8064516129032,74.1935483870968,-48.3870967741935,-0.0304483974354749,0.0552342229060537,1,FALSE,FALSE
"Carbohydrate metabolism","Citrate cycle (TCA cycle)",16,4,12,25,75,-50,-0.0258676827733476,0.226505465656283,1,FALSE,FALSE
"Nucleotide metabolism","Purine metabolism",29,7,22,24.1379310344828,75.8620689655172,-51.7241379310345,-0.0338920228265821,0.0435518255759119,1,TRUE,FALSE
"Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism",21,5,16,23.8095238095238,76.1904761904762,-52.3809523809524,-0.024902018509827,0.102775394757213,1,FALSE,FALSE
"Amino acid metabolism","Valine, leucine and isoleucine degradation",22,5,17,22.7272727272727,77.2727272727273,-54.5454545454545,-0.026456935560765,0.0804415412688486,1,FALSE,FALSE
"Amino acid metabolism","Tryptophan metabolism",14,3,11,21.4285714285714,78.5714285714286,-57.1428571428571,-0.0267219375181533,0.184069569864613,1,FALSE,FALSE
"Glycan biosynthesis and metabolism","Other glycan degradation",10,2,8,20,80,-60,-0.0363067776475792,0.273981823787228,1,FALSE,FALSE
"Metabolism of cofactors and vitamins","Pantothenate and CoA biosynthesis",10,2,8,20,80,-60,-0.0271323928664291,0.273981823787228,1,FALSE,FALSE
"Metabolism of cofactors and vitamins","Lipoic acid metabolism",10,2,8,20,80,-60,-0.0291297620356906,0.273981823787228,1,FALSE,FALSE
"Amino acid metabolism","Glycine, serine and threonine metabolism",21,4,17,19.047619047619,80.952380952381,-61.9047619047619,-0.0375062702063981,0.0400738775839382,1,TRUE,FALSE
"Carbohydrate metabolism","Glycolysis / Gluconeogenesis",16,3,13,18.75,81.25,-62.5,-0.0328452534898746,0.0886417091821545,1,FALSE,FALSE
"Nucleotide metabolism","Pyrimidine metabolism",16,3,13,18.75,81.25,-62.5,-0.0367653005412064,0.0886417091821545,1,FALSE,FALSE
"Energy metabolism","Methane metabolism",11,2,9,18.1818181818182,81.8181818181818,-63.6363636363636,-0.0352653082317403,0.199786546951027,1,FALSE,FALSE
"Amino acid metabolism","Cysteine and methionine metabolism",22,4,18,18.1818181818182,81.8181818181818,-63.6363636363636,-0.0359780235945033,0.0312142053562887,1,TRUE,FALSE
"Transport and catabolism","Lysosome",42,7,35,16.6666666666667,83.3333333333333,-66.6666666666667,-0.0359235328908724,0.000563839142066749,1,TRUE,FALSE
"Folding, sorting and degradation","Proteasome (pathway)",19,3,16,15.7894736842105,84.2105263157895,-68.421052631579,-0.0330333151141275,0.0312142053562887,1,TRUE,FALSE
"Carbohydrate metabolism","Pentose phosphate pathway",15,2,13,13.3333333333333,86.6666666666667,-73.3333333333333,-0.0703789029945764,0.0400738775839382,1,TRUE,FALSE
"Carbohydrate metabolism","Starch and sucrose metabolism",16,2,14,12.5,87.5,-75,-0.03509290514412,0.0312142053562887,1,TRUE,FALSE
"Energy metabolism","Carbon fixation by Calvin cycle",16,2,14,12.5,87.5,-75,-0.0432437049648481,0.0312142053562887,1,TRUE,FALSE
"Protein families: metabolism","Lipid biosynthesis proteins",17,2,15,11.7647058823529,88.2352941176471,-76.4705882352941,-0.036393022452661,0.0209452654729949,1,TRUE,FALSE
"Lipid metabolism","Sphingolipid metabolism",23,2,21,8.69565217391304,91.304347826087,-82.6086956521739,-0.0438205593081828,0.00168164018125974,1,TRUE,FALSE
"Metabolism of cofactors and vitamins","One carbon pool by folate",12,1,11,8.33333333333333,91.6666666666667,-83.3333333333333,-0.0453474283133497,0.03998296220113,1,TRUE,FALSE
"Metabolism of other amino acids","Glutathione metabolism",17,1,16,5.88235294117647,94.1176470588235,-88.2352941176471,-0.0605493422266154,0.00456295797226436,1,TRUE,FALSE
"Amino acid metabolism","Alanine, aspartate and glutamate metabolism",12,0,12,0,100,-100,-0.0550194577742528,0.00652850422363908,1,TRUE,FALSE
