"","Geneid"
"1","g7905"
"2","g4920"
"3","g6745"
"4","g663"
"5","g15407"
"6","g958"
"7","g16188"
"8","g16253"
"9","g11518"
"10","g18444"
"11","g1412"
"12","g19209"
"13","g16930"
"14","g17131"
"15","g14262"
"16","g18089"
"17","g11288"
"18","g11086"
"19","g10520"
"20","g10050"
"21","g9331"
"22","g3447"
"23","g6392"
"24","g10582"
"25","g9383"
"26","g11675"
"27","g1322"
"28","g17362"
"29","g9888"
"30","g9256"
"31","g2558"
"32","g18969"
"33","g17107"
"34","g11233"
"35","g5423"
"36","g17780"
"37","g9207"
"38","g17133"
"39","g11087"
"40","g14003"
"41","g12211"
"42","g8920"
"43","g14442"
"44","g649"
"45","g8749"
"46","g6625"
"47","g10800"
"48","g1007"
"49","g1474"
"50","g13506"
"51","g9656"
"52","g19208"
"53","g15674"
"54","g13934"
"55","g12262"
"56","g1350"
"57","g15267"
"58","g13452"
"59","g7341"
"60","g4862"
"61","g631"
"62","g61"
"63","g5966"
"64","g12812"
"65","g13233"
"66","g898"
"67","g1262"
"68","g7337"
"69","g13618"
"70","g8434"
"71","g10910"
"72","g17365"
"73","g5495"
"74","g10860"
"75","g7479"
"76","g4620"
"77","g12109"
"78","g16063"
"79","g13742"
"80","g16603"
"81","g10228"
"82","g11483"
"83","g13954"
"84","g5964"
"85","g16255"
"86","g6629"
"87","g6985"
"88","g17321"
"89","g9224"
"90","g7473"
"91","g4551"
"92","g11404"
"93","g17606"
"94","g771"
"95","g6389"
"96","g13230"
"97","g8451"
"98","g6452"
"99","g10062"
"100","g18246"
"101","g13706"
"102","g1098"
"103","g2039"
"104","g9724"
"105","g6412"
"106","g17346"
"107","g15268"
"108","g6448"
"109","g11083"
"110","g5919"
"111","g13124"
"112","g7856"
"113","g993"
"114","g9706"
"115","g5486"
"116","g14897"
"117","g6615"
"118","g17125"
"119","g11877"
"120","g11355"
"121","g2271"
"122","g18279"
"123","g16060"
"124","g2037"
"125","g17996"
"126","g16267"
"127","g11365"
"128","g4988"
"129","g17811"
"130","g14011"
"131","g6068"
"132","g6113"
"133","g19675"
"134","g17199"
"135","g571"
"136","g15406"
"137","g8857"
"138","g297"
"139","g11062"
"140","g7376"
"141","g3990"
"142","g550"
"143","g15457"
"144","g15530"
"145","g3666"
"146","g15733"
"147","g1834"
"148","g13998"
"149","g13126"
"150","g7755"
"151","g11678"
"152","g55"
"153","g10723"
"154","g5783"
"155","g6397"
"156","g7761"
"157","g10770"
"158","g1831"
"159","g3256"
"160","g10690"
"161","g16607"
"162","g14307"
"163","g14822"
"164","g497"
"165","g13112"
"166","g18995"
"167","g16504"
"168","g5143"
"169","g12123"
"170","g6373"
"171","g13446"
"172","g11821"
"173","g121"
"174","g19100"
"175","g2713"
"176","g8228"
"177","g5214"
"178","g14312"
"179","g16170"
"180","g6022"
"181","g6921"
"182","g899"
"183","g14819"
"184","g16495"
"185","g3104"
"186","g16879"
"187","g9833"
"188","g1828"
"189","g5060"
"190","g6313"
"191","g15685"
"192","g18742"
"193","g10396"
"194","g18654"
"195","g13808"
"196","g2730"
"197","g11214"
"198","g3860"
"199","g19102"
"200","g7954"
"201","g2648"
"202","g989"
"203","g3978"
"204","g14422"
"205","g19148"
"206","g11479"
"207","g14037"
"208","g14438"
"209","g3192"
"210","g3004"
"211","g16332"
"212","g6828"
"213","g8640"
"214","g7425"
"215","g9728"
"216","g16989"
"217","g6110"
"218","g4252"
"219","g17147"
"220","g7381"
"221","g14823"
"222","g11415"
"223","g4623"
"224","g10054"
"225","g8346"
"226","g15838"
"227","g14428"
"228","g7782"
"229","g3974"
"230","g6023"
"231","g11878"
"232","g7497"
"233","g9007"
"234","g6532"
"235","g12174"
"236","g10982"
"237","g13426"
"238","g7070"
"239","g3007"
"240","g16748"
"241","g19142"
"242","g16866"
"243","g19571"
"244","g2440"
"245","g16767"
"246","g2045"
"247","g18120"
"248","g13973"
"249","g3103"
"250","g18228"
"251","g13388"
"252","g10715"
"253","g19502"
"254","g7398"
"255","g10564"
"256","g9539"
"257","g15538"
"258","g8636"
"259","g5380"
"260","g16757"
"261","g13947"
"262","g8497"
"263","g126"
"264","g16570"
"265","g13900"
"266","g8272"
"267","g215"
"268","g1267"
"269","g2135"
"270","g2151"
"271","g16016"
"272","g294"
"273","g12990"
"274","g5376"
"275","g8222"
"276","g18620"
"277","g15154"
"278","g19068"
"279","g19392"
"280","g2301"
"281","g9275"
"282","g8487"
"283","g12859"
"284","g17141"
"285","g4337"
"286","g1420"
"287","g16599"
"288","g14474"
"289","g11501"
"290","g3875"
"291","g16247"
"292","g7793"
"293","g8504"
"294","g7566"
"295","g17056"
"296","g8748"
"297","g7573"
"298","g19604"
"299","g2182"
"300","g4461"
"301","g3188"
"302","g11864"
"303","g19046"
"304","g8345"
"305","g11862"
"306","g7758"
"307","g18534"
"308","g93"
"309","g18427"
"310","g6368"
"311","g14737"
"312","g73"
"313","g13975"
"314","g1067"
"315","g15399"
"316","g3593"
"317","g12672"
"318","g11900"
"319","g14420"
"320","g7863"
"321","g18506"
"322","g3012"
"323","g2677"
"324","g16831"
"325","g13617"
"326","g9095"
"327","g9832"
"328","g10256"
"329","g16485"
"330","g7156"
"331","g11484"
"332","g17140"
"333","g89"
"334","g14409"
"335","g7687"
"336","g19569"
"337","g13665"
"338","g9618"
"339","g14902"
"340","g17440"
"341","g10348"
"342","g19156"
"343","g5965"
"344","g7348"
"345","g1251"
"346","g2978"
"347","g1413"
"348","g8731"
"349","g17363"
"350","g11648"
"351","g9206"
"352","g906"
"353","g1082"
"354","g11515"
"355","g7435"
"356","g9379"
"357","g17716"
"358","g17511"
