"","Geneid"
"1","g14166"
"2","g17340"
"3","g10504"
"4","g15954"
"5","g12683"
"6","g14456"
"7","g15109"
"8","g15499"
"9","g15136"
"10","g11703"
"11","g13516"
"12","g10340"
"13","g9739"
"14","g1704"
"15","g15139"
"16","g727"
"17","g15852"
"18","g9804"
"19","g4316"
"20","g9203"
"21","g8797"
"22","g337"
"23","g7506"
"24","g6813"
"25","g13087"
"26","g12657"
"27","g5077"
"28","g16031"
"29","g7120"
"30","g14756"
"31","g19627"
"32","g11960"
"33","g476"
"34","g7523"
"35","g10440"
"36","g18174"
"37","g19308"
"38","g17690"
"39","g17712"
"40","g14094"
"41","g9459"
"42","g7958"
"43","g11769"
"44","g19526"
"45","g14796"
"46","g7320"
"47","g11385"
"48","g11855"
"49","g6963"
"50","g11121"
