"","Geneid"
"1","g10433"
"2","g4636"
"3","g11527"
"4","g3298"
"5","g9466"
"6","g18766"
"7","g6866"
"8","g10362"
"9","g844"
"10","g13432"
"11","g16002"
"12","g4305"
"13","g10217"
"14","g18314"
"15","g17366"
"16","g4141"
"17","g12766"
"18","g2693"
"19","g6252"
"20","g14497"
"21","g6015"
"22","g8969"
"23","g19390"
"24","g7997"
"25","g15286"
"26","g18152"
"27","g2204"
"28","g18737"
"29","g14326"
"30","g15130"
"31","g2660"
"32","g14692"
"33","g19491"
"34","g5634"
"35","g10752"
"36","g184"
"37","g4680"
"38","g16146"
"39","g5547"
"40","g12388"
"41","g18466"
"42","g18810"
"43","g14091"
"44","g3277"
"45","g4629"
"46","g11069"
"47","g15944"
"48","g18324"
"49","g15207"
"50","g12794"
