Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	157	157
OG0000001	97	97
OG0000002	165	165
OG0000003	96	96
OG0000004	89	89
OG0000005	71	71
OG0000006	92	92
OG0000007	89	89
OG0000008	66	66
OG0000009	86	86
OG0000010	85	85
OG0000011	82	82
OG0000012	58	54
OG0000013	71	71
OG0000014	80	80
OG0000015	58	58
OG0000016	75	75
OG0000017	74	74
OG0000018	74	74
OG0000019	71	71
OG0000020	55	54
OG0000021	38	38
OG0000022	68	68
OG0000023	66	66
OG0000024	64	64
OG0000025	58	58
OG0000026	55	55
OG0000027	58	58
OG0000028	54	54
OG0000029	41	41
OG0000030	53	53
OG0000031	55	55
OG0000032	56	56
OG0000033	55	55
OG0000034	32	32
OG0000035	35	35
OG0000036	51	51
OG0000037	52	52
OG0000038	51	51
OG0000039	49	49
OG0000040	27	27
OG0000041	49	49
OG0000042	28	28
OG0000043	32	32
OG0000044	48	48
OG0000045	45	45
OG0000046	44	39
OG0000047	48	48
OG0000048	48	48
OG0000049	29	29
OG0000050	28	28
OG0000051	47	47
OG0000052	47	47
OG0000053	45	45
OG0000054	45	45
OG0000055	44	44
OG0000056	46	46
OG0000057	45	45
OG0000058	30	30
OG0000059	43	43
OG0000060	31	31
OG0000061	44	44
OG0000062	23	23
OG0000063	43	43
OG0000064	42	42
OG0000065	42	42
OG0000066	40	40
OG0000067	38	38
OG0000068	26	26
OG0000069	40	40
OG0000070	23	23
OG0000071	35	35
OG0000072	36	36
OG0000073	39	39
OG0000074	39	39
OG0000075	40	40
OG0000076	36	36
OG0000077	36	36
OG0000078	31	31
OG0000079	38	38
OG0000080	37	37
OG0000081	39	39
OG0000082	22	22
OG0000083	35	35
OG0000084	38	38
OG0000085	30	30
OG0000086	22	22
OG0000087	34	34
OG0000088	37	37
OG0000089	37	37
OG0000090	37	37
OG0000091	12	12
OG0000092	28	28
OG0000093	20	20
OG0000094	35	35
OG0000095	28	28
OG0000096	32	32
OG0000097	34	34
OG0000098	36	36
OG0000099	19	16
OG0000100	30	30
OG0000101	23	23
OG0000102	35	35
OG0000103	34	34
OG0000104	28	28
OG0000105	26	26
OG0000106	34	34
OG0000107	17	17
OG0000108	30	27
OG0000109	33	33
OG0000110	32	32
OG0000111	25	25
OG0000112	31	31
OG0000113	30	30
OG0000114	31	31
OG0000115	32	32
OG0000116	32	32
OG0000117	22	18
OG0000118	18	18
OG0000119	27	27
OG0000120	29	29
OG0000121	31	31
OG0000122	31	31
OG0000123	9	9
OG0000124	13	11
OG0000125	22	22
OG0000126	18	18
OG0000127	13	13
OG0000128	23	23
OG0000129	19	19
OG0000130	26	26
OG0000131	21	19
OG0000132	21	21
OG0000133	18	17
OG0000134	29	29
OG0000135	29	29
OG0000136	29	29
OG0000137	29	29
OG0000138	28	28
OG0000139	28	28
OG0000140	26	26
OG0000141	24	24
OG0000142	28	28
OG0000143	28	28
OG0000144	28	28
OG0000145	28	28
OG0000146	27	27
OG0000147	11	11
OG0000148	16	16
OG0000149	22	22
OG0000150	27	27
OG0000151	27	27
OG0000152	27	27
OG0000153	21	21
OG0000154	25	25
OG0000155	26	26
OG0000156	25	25
OG0000157	24	24
OG0000158	26	26
OG0000159	25	25
OG0000160	15	13
OG0000161	14	13
OG0000162	12	11
OG0000163	25	25
OG0000164	22	22
OG0000165	25	25
OG0000166	22	22
OG0000167	24	24
OG0000168	25	25
OG0000169	25	25
OG0000170	25	25
OG0000171	9	7
OG0000172	22	22
OG0000173	21	21
OG0000174	23	23
OG0000175	23	23
OG0000176	18	18
OG0000177	20	20
OG0000178	23	23
OG0000179	24	24
OG0000180	24	24
OG0000181	13	12
OG0000182	14	14
OG0000183	15	15
OG0000184	17	17
OG0000185	22	22
OG0000186	13	13
OG0000187	20	20
OG0000188	21	21
OG0000189	23	23
OG0000190	23	23
OG0000191	15	13
OG0000192	13	12
OG0000193	18	18
OG0000194	12	11
OG0000195	17	17
OG0000196	22	22
OG0000197	22	22
OG0000198	15	15
OG0000199	22	22
OG0000200	22	22
OG0000201	22	22
OG0000202	22	22
OG0000203	21	21
OG0000204	21	21
OG0000205	10	7
OG0000206	17	17
OG0000207	16	16
OG0000208	19	19
OG0000209	17	17
OG0000210	15	15
OG0000211	15	15
OG0000212	20	20
OG0000213	21	21
OG0000214	21	21
OG0000215	21	21
OG0000216	21	21
OG0000217	21	21
OG0000218	21	21
OG0000219	21	21
OG0000220	21	21
OG0000221	21	21
OG0000222	21	21
OG0000223	13	13
OG0000224	15	15
OG0000225	20	20
OG0000226	11	9
OG0000227	11	11
OG0000228	13	13
OG0000229	9	9
OG0000230	12	12
OG0000231	16	16
OG0000232	12	11
OG0000233	13	13
OG0000234	19	19
OG0000235	17	17
OG0000236	13	13
OG0000237	17	17
OG0000238	20	20
OG0000239	20	20
OG0000240	20	20
OG0000241	20	20
OG0000242	20	20
OG0000243	20	20
OG0000244	20	20
OG0000245	20	20
OG0000246	19	19
OG0000247	19	19
OG0000248	12	12
OG0000249	15	15
OG0000250	12	11
OG0000251	13	12
OG0000252	8	6
OG0000253	19	19
OG0000254	12	11
OG0000255	14	11
OG0000256	11	11
OG0000257	7	6
OG0000258	15	15
OG0000259	12	11
