Orthogroup	acastellanii_braker	bc2001_braker	bc2002_braker	dicty_braker	vvermcdc19_braker	Total
OG0000000	0	126	131	0	0	257
OG0000001	1	88	80	0	9	178
OG0000002	0	3	166	0	0	169
OG0000003	3	80	47	1	3	134
OG0000004	0	41	79	0	0	120
OG0000005	0	64	35	0	0	99
OG0000006	0	0	0	93	0	93
OG0000007	90	0	0	0	0	90
OG0000008	1	60	27	0	1	89
OG0000009	0	87	0	0	0	87
OG0000010	0	86	0	0	0	86
OG0000011	0	1	83	0	0	84
OG0000012	19	11	9	29	14	82
OG0000013	0	9	72	0	0	81
OG0000014	0	0	81	0	0	81
OG0000015	0	40	40	0	0	80
OG0000016	0	0	76	0	0	76
OG0000017	0	0	0	75	0	75
OG0000018	0	0	0	75	0	75
OG0000019	0	0	0	1	72	73
OG0000020	8	6	6	16	34	70
OG0000021	0	34	36	0	0	70
OG0000022	0	69	0	0	0	69
OG0000023	0	0	67	0	0	67
OG0000024	0	65	0	0	0	65
OG0000025	0	59	1	0	0	60
OG0000026	0	3	2	54	1	60
OG0000027	0	59	0	0	0	59
OG0000028	0	4	55	0	0	59
OG0000029	0	24	34	0	0	58
OG0000030	0	4	54	0	0	58
OG0000031	0	56	1	0	0	57
OG0000032	0	0	0	57	0	57
OG0000033	0	0	56	0	0	56
OG0000034	0	25	27	0	3	55
OG0000035	0	25	21	0	9	55
OG0000036	0	2	52	0	0	54
OG0000037	0	1	53	0	0	54
OG0000038	0	1	52	0	0	53
OG0000039	0	3	50	0	0	53
OG0000040	0	25	25	0	1	51
OG0000041	0	50	0	0	0	50
OG0000042	0	25	25	0	0	50
OG0000043	1	25	22	0	1	49
OG0000044	0	49	0	0	0	49
OG0000045	0	46	3	0	0	49
OG0000046	0	45	2	1	1	49
OG0000047	0	0	49	0	0	49
OG0000048	0	0	0	49	0	49
OG0000049	0	20	24	0	4	48
OG0000050	0	22	24	0	2	48
OG0000051	0	0	48	0	0	48
OG0000052	0	0	0	48	0	48
OG0000053	0	46	1	0	0	47
OG0000054	0	1	46	0	0	47
OG0000055	0	2	45	0	0	47
OG0000056	0	0	0	47	0	47
OG0000057	0	46	0	0	0	46
OG0000058	0	22	23	0	1	46
OG0000059	0	2	44	0	0	46
OG0000060	0	24	20	1	0	45
OG0000061	0	0	45	0	0	45
OG0000062	1	19	20	1	3	44
OG0000063	0	44	0	0	0	44
OG0000064	0	1	43	0	0	44
OG0000065	0	43	0	0	0	43
OG0000066	0	2	41	0	0	43
OG0000067	8	0	0	14	20	42
OG0000068	0	19	22	0	1	42
OG0000069	0	41	1	0	0	42
OG0000070	0	21	20	0	1	42
OG0000071	0	7	35	0	0	42
OG0000072	0	37	4	0	0	41
OG0000073	0	1	40	0	0	41
OG0000074	0	40	1	0	0	41
OG0000075	0	0	0	41	0	41
OG0000076	0	37	3	0	0	40
OG0000077	0	36	4	0	0	40
OG0000078	0	32	8	0	0	40
OG0000079	0	1	39	0	0	40
OG0000080	0	2	38	0	0	40
OG0000081	0	0	0	40	0	40
OG0000082	1	18	18	0	2	39
OG0000083	0	3	36	0	0	39
OG0000084	0	0	0	0	39	39
OG0000085	4	5	4	0	25	38
OG0000086	0	18	20	0	0	38
OG0000087	0	3	35	0	0	38
OG0000088	0	0	38	0	0	38
OG0000089	0	0	38	0	0	38
OG0000090	0	0	0	0	38	38
OG0000091	6	10	7	7	7	37
OG0000092	5	6	6	1	19	37
OG0000093	1	17	17	0	2	37
OG0000094	0	36	1	0	0	37
OG0000095	0	28	9	0	0	37
OG0000096	0	32	5	0	0	37
OG0000097	0	2	35	0	0	37
OG0000098	0	0	0	37	0	37
OG0000099	9	4	4	7	12	36
OG0000100	0	5	31	0	0	36
OG0000101	0	16	20	0	0	36
OG0000102	0	0	0	36	0	36
OG0000103	35	0	0	0	0	35
OG0000104	0	29	6	0	0	35
OG0000105	0	27	8	0	0	35
OG0000106	0	0	0	35	0	35
OG0000107	4	7	8	7	8	34
OG0000108	0	0	0	29	5	34
OG0000109	0	0	0	0	34	34
OG0000110	33	0	0	0	0	33
OG0000111	0	25	8	0	0	33
OG0000112	0	17	16	0	0	33
OG0000113	0	1	2	30	0	33
OG0000114	0	2	31	0	0	33
OG0000115	0	0	33	0	0	33
OG0000116	0	0	0	33	0	33
OG0000117	20	1	1	6	4	32
OG0000118	1	14	17	0	0	32
OG0000119	0	17	15	0	0	32
OG0000120	0	2	30	0	0	32
OG0000121	0	0	32	0	0	32
OG0000122	0	0	0	0	32	32
OG0000123	4	8	6	7	6	31
OG0000124	11	5	5	7	3	31
OG0000125	1	4	3	3	20	31
OG0000126	9	6	4	4	8	31
OG0000127	3	9	7	4	8	31
OG0000128	0	22	8	0	1	31
OG0000129	0	18	12	0	1	31
OG0000130	0	27	3	0	0	30
OG0000131	0	5	9	13	3	30
OG0000132	0	14	15	1	0	30
OG0000133	0	11	15	1	3	30
OG0000134	0	0	0	30	0	30
OG0000135	0	0	0	30	0	30
OG0000136	0	0	0	0	30	30
OG0000137	0	0	0	0	30	30
OG0000138	29	0	0	0	0	29
OG0000139	0	29	0	0	0	29
OG0000140	0	1	0	1	27	29
OG0000141	0	6	23	0	0	29
OG0000142	0	0	29	0	0	29
OG0000143	0	0	0	29	0	29
OG0000144	0	0	0	29	0	29
OG0000145	0	0	0	29	0	29
OG0000146	28	0	0	0	0	28
OG0000147	4	7	8	2	7	28
OG0000148	0	13	15	0	0	28
OG0000149	0	5	23	0	0	28
OG0000150	0	28	0	0	0	28
OG0000151	0	0	0	28	0	28
OG0000152	0	0	0	0	28	28
OG0000153	6	2	2	1	16	27
OG0000154	0	26	1	0	0	27
OG0000155	0	27	0	0	0	27
OG0000156	0	1	26	0	0	27
OG0000157	0	2	25	0	0	27
OG0000158	0	0	27	0	0	27
OG0000159	26	0	0	0	0	26
OG0000160	9	3	4	4	6	26
OG0000161	9	5	5	3	4	26
OG0000162	4	6	7	3	6	26
OG0000163	0	26	0	0	0	26
OG0000164	0	23	3	0	0	26
OG0000165	0	26	0	0	0	26
OG0000166	0	3	23	0	0	26
OG0000167	0	1	25	0	0	26
OG0000168	0	0	26	0	0	26
OG0000169	0	0	0	26	0	26
OG0000170	0	0	0	26	0	26
OG0000171	6	4	4	4	7	25
OG0000172	0	2	23	0	0	25
OG0000173	0	19	6	0	0	25
OG0000174	0	24	1	0	0	25
OG0000175	0	24	1	0	0	25
OG0000176	0	17	7	0	1	25
OG0000177	0	4	21	0	0	25
OG0000178	0	1	24	0	0	25
OG0000179	0	0	0	0	25	25
OG0000180	0	0	0	0	25	25
OG0000181	7	6	6	0	5	24
OG0000182	9	4	4	3	4	24
OG0000183	0	11	12	1	0	24
OG0000184	0	6	18	0	0	24
OG0000185	0	1	23	0	0	24
OG0000186	0	13	10	0	1	24
OG0000187	0	3	21	0	0	24
OG0000188	0	1	1	22	0	24
OG0000189	0	0	0	0	24	24
OG0000190	0	0	0	0	24	24
OG0000191	11	2	2	6	2	23
OG0000192	7	5	5	3	3	23
OG0000193	18	1	1	0	3	23
OG0000194	1	12	7	2	1	23
OG0000195	1	2	2	9	9	23
OG0000196	0	23	0	0	0	23
OG0000197	0	23	0	0	0	23
OG0000198	0	12	11	0	0	23
OG0000199	0	0	23	0	0	23
OG0000200	0	0	0	23	0	23
OG0000201	0	0	0	0	23	23
OG0000202	0	0	0	0	23	23
OG0000203	22	0	0	0	0	22
OG0000204	22	0	0	0	0	22
OG0000205	5	3	3	4	7	22
OG0000206	6	1	1	1	13	22
OG0000207	0	15	7	0	0	22
OG0000208	0	20	2	0	0	22
OG0000209	0	4	18	0	0	22
OG0000210	0	9	13	0	0	22
OG0000211	0	11	7	0	4	22
OG0000212	0	1	21	0	0	22
OG0000213	0	0	0	22	0	22
OG0000214	0	0	0	22	0	22
OG0000215	0	0	0	22	0	22
OG0000216	0	0	0	0	22	22
OG0000217	0	0	0	0	22	22
OG0000218	0	0	0	0	22	22
OG0000219	0	0	0	0	22	22
OG0000220	0	0	0	0	22	22
OG0000221	0	0	0	0	22	22
OG0000222	0	0	0	0	22	22
OG0000223	4	3	3	6	5	21
OG0000224	13	3	1	2	2	21
OG0000225	21	0	0	0	0	21
OG0000226	4	6	2	0	9	21
OG0000227	5	2	4	4	6	21
OG0000228	1	13	7	0	0	21
OG0000229	2	7	6	1	5	21
OG0000230	1	10	6	1	3	21
OG0000231	3	1	1	12	4	21
OG0000232	1	6	6	2	6	21
OG0000233	0	8	13	0	0	21
OG0000234	0	20	1	0	0	21
OG0000235	0	18	3	0	0	21
OG0000236	0	7	14	0	0	21
OG0000237	0	3	18	0	0	21
OG0000238	0	0	21	0	0	21
OG0000239	0	0	21	0	0	21
OG0000240	0	0	21	0	0	21
OG0000241	0	0	0	0	21	21
OG0000242	0	0	0	0	21	21
OG0000243	0	0	0	0	21	21
