Sample_ID,Batch_ID,Temp,TempC,Time,Cell_mL
30_1,30A,30,30C,0,2.50E+04
30_2,30A,30,30C,0,2.00E+04
30_3,30A,30,30C,0,2.75E+04
30_4,30A,30,30C,0,2.50E+04
40_1,40A,40,40C,0,1.75E+04
40_2,40A,40,40C,0,1.75E+04
40_3,40A,40,40C,0,3.25E+04
40_4,40A,40,40C,0,2.25E+04
42_1,42A,42,42C,0,3.00E+04
42_2,42A,42,42C,0,3.25E+04
42_3,42A,42,42C,0,2.00E+04
42_4,42A,42,42C,0,1.25E+04
42_5,42B,42,42C,0,2.50E+04
42_6,42B,42,42C,0,1.00E+04
42_7,42B,42,42C,0,3.00E+04
42_8,42B,42,42C,0,3.00E+04
45_1,45A,45,45C,0,2.75E+04
45_2,45A,45,45C,0,2.00E+04
45_3,45A,45,45C,0,5.00E+04
45_4,45A,45,45C,0,1.75E+04
50_1,50A,50,50C,0,3.50E+04
50_2,50A,50,50C,0,3.50E+04
50_3,50A,50,50C,0,4.00E+04
50_4,50A,50,50C,0,3.50E+04
51.5_1,51.5A,51.5,51.5C,0,2.00E+04
51.5_2,51.5A,51.5,51.5C,0,3.00E+04
51.5_3,51.5A,51.5,51.5C,0,4.00E+04
51.5_4,51.5A,51.5,51.5C,0,1.25E+04
54_1,54A,54,54C,0,3.25E+04
54_2,54A,54,54C,0,1.75E+04
54_3,54A,54,54C,0,2.50E+04
54_4,54A,54,54C,0,2.50E+04
55_1,55A,55,55C,0,2.00E+04
55_2,55A,55,55C,0,3.75E+04
55_3,55A,55,55C,0,3.00E+04
55_4,55A,55,55C,0,2.00E+04
55_5,55B,55,55C,0,1.50E+04
55_6,55B,55,55C,0,3.00E+04
55_7,55B,55,55C,0,2.25E+04
55_8,55B,55,55C,0,2.00E+04
55_9,55C,55,55C,0,1.75E+04
55_10,55C,55,55C,0,1.00E+04
55_11,55C,55,55C,0,3.25E+04
55_12,55C,55,55C,0,3.50E+04
57_1,57A,57,57C,0,1.75E+04
57_2,57A,57,57C,0,2.00E+04
57_3,57A,57,57C,0,3.00E+04
57_4,57A,57,57C,0,1.75E+04
61_1,61A,61,61C,0,3.75E+04
61_2,61A,61,61C,0,3.50E+04
61_3,61A,61,61C,0,1.50E+04
61_4,61A,61,61C,0,2.50E+04
61.5_1,61.5A,61.5,61.5C,0,2.75E+04
61.5_2,61.5A,61.5,61.5C,0,1.75E+04
61.5_3,61.5A,61.5,61.5C,0,3.50E+04
61.5_4,61.5A,61.5,61.5C,0,2.25E+04
62_1,62A,62,62C,0,2.50E+04
62_2,62A,62,62C,0,2.75E+04
62_3,62A,62,62C,0,2.50E+04
62_4,62A,62,62C,0,2.25E+04
62_5,62B,62,62C,0,7.50E+03
62_6,62B,62,62C,0,2.75E+04
62_7,62B,62,62C,0,3.00E+04
62_8,62B,62,62C,0,3.75E+04
62.5_1,62.5A,62.5,62.5C,0,2.75E+04
62.5_2,62.5A,62.5,62.5C,0,1.75E+04
62.5_3,62.5A,62.5,62.5C,0,1.50E+04
62.5_4,62.5A,62.5,62.5C,0,3.75E+04
62.5_5,62.5B,62.5,62.5C,0,3.00E+04
62.5_6,62.5B,62.5,62.5C,0,1.25E+04
62.5_7,62.5B,62.5,62.5C,0,1.75E+04
62.5_8,62.5B,62.5,62.5C,0,3.25E+04
64_1,64A,64,64C,0,2.00E+04
64_2,64A,64,64C,0,1.75E+04
64_3,64A,64,64C,0,3.00E+04
64_4,64A,64,64C,0,1.75E+04
30_1,30A,30,30C,1,1.75E+04
30_2,30A,30,30C,1,2.25E+04
30_3,30A,30,30C,1,2.00E+04
30_4,30A,30,30C,1,2.75E+04
40_1,40A,40,40C,1,1.50E+04
40_2,40A,40,40C,1,1.75E+04
40_3,40A,40,40C,1,1.75E+04
40_4,40A,40,40C,1,1.50E+04
42_1,42A,42,42C,1,1.75E+04
42_2,42A,42,42C,1,1.75E+04
42_3,42A,42,42C,1,2.00E+04
42_4,42A,42,42C,1,3.00E+04
42_5,42B,42,42C,1,3.25E+04
42_6,42B,42,42C,1,2.50E+04
42_7,42B,42,42C,1,1.00E+04
42_8,42B,42,42C,1,2.75E+04
45_1,45A,45,45C,1,2.00E+04
45_2,45A,45,45C,1,3.50E+04
45_3,45A,45,45C,1,2.25E+04
45_4,45A,45,45C,1,1.50E+04
50_1,50A,50,50C,1,2.25E+04
50_2,50A,50,50C,1,2.50E+04
50_3,50A,50,50C,1,2.75E+04
50_4,50A,50,50C,1,3.00E+04
51.5_1,51.5A,51.5,51.5C,1,4.00E+04
51.5_2,51.5A,51.5,51.5C,1,3.75E+04
51.5_3,51.5A,51.5,51.5C,1,2.00E+04
51.5_4,51.5A,51.5,51.5C,1,4.25E+04
54_1,54A,54,54C,1,3.00E+04
54_2,54A,54,54C,1,4.25E+04
54_3,54A,54,54C,1,3.00E+04
54_4,54A,54,54C,1,2.50E+04
55_1,55A,55,55C,1,5.50E+04
55_2,55A,55,55C,1,4.00E+04
55_3,55A,55,55C,1,4.50E+04
55_4,55A,55,55C,1,4.25E+04
55_5,55B,55,55C,1,4.75E+04
55_6,55B,55,55C,1,4.00E+04
55_7,55B,55,55C,1,2.50E+04
55_8,55B,55,55C,1,4.75E+04
55_9,55C,55,55C,1,1.25E+04
55_10,55C,55,55C,1,3.00E+04
55_11,55C,55,55C,1,5.75E+04
55_12,55C,55,55C,1,4.00E+04
57_1,57A,57,57C,1,1.25E+04
57_2,57A,57,57C,1,4.25E+04
57_3,57A,57,57C,1,2.00E+04
57_4,57A,57,57C,1,1.75E+04
61_1,61A,61,61C,1,4.50E+04
61_2,61A,61,61C,1,3.25E+04
61_3,61A,61,61C,1,3.25E+04
61_4,61A,61,61C,1,3.50E+04
61.5_1,61.5A,61.5,61.5C,1,2.75E+04
