Orthogroup	dicty_braker	bc2001_braker
OG0000003	dicty_g10817.t1	bc2001_g7453.t2, bc2001_g7453.t1, bc2001_g705.t1, bc2001_g4942.t1, bc2001_g6841.t1, bc2001_g13300.t1, bc2001_g7804.t1, bc2001_g1568.t1, bc2001_g18927.t1, bc2001_g13621.t3, bc2001_g13621.t2, bc2001_g13621.t4, bc2001_g13621.t1, bc2001_g15322.t1, bc2001_g9468.t1, bc2001_g9468.t2, bc2001_g3150.t1, bc2001_g13640.t1, bc2001_g741.t1, bc2001_g17425.t2, bc2001_g17425.t1, bc2001_g6401.t1, bc2001_g10730.t1, bc2001_g1528.t1, bc2001_g4187.t1, bc2001_g14194.t1, bc2001_g14194.t2, bc2001_g18697.t1, bc2001_g3458.t1, bc2001_g3768.t1, bc2001_g14971.t1, bc2001_g13055.t1, bc2001_g7309.t1, bc2001_g12524.t1, bc2001_g17576.t1, bc2001_g3519.t1, bc2001_g13055.t2, bc2001_g9957.t1, bc2001_g16451.t1, bc2001_g19026.t1, bc2001_g17672.t1, bc2001_g17981.t1, bc2001_g1489.t1, bc2001_g19615.t1, bc2001_g4724.t1, bc2001_g18738.t1, bc2001_g13039.t1, bc2001_g8798.t1, bc2001_g9479.t1, bc2001_g14971.t3, bc2001_g14971.t2, bc2001_g6213.t1, bc2001_g3768.t2, bc2001_g13176.t1, bc2001_g17267.t1, bc2001_g6472.t1, bc2001_g6583.t1, bc2001_g7918.t1, bc2001_g1489.t2, bc2001_g9773.t1, bc2001_g9773.t2, bc2001_g10699.t1, bc2001_g634.t1, bc2001_g11118.t1, bc2001_g9572.t1, bc2001_g9572.t2, bc2001_g397.t1, bc2001_g1898.t1, bc2001_g2442.t1, bc2001_g6328.t1, bc2001_g14867.t1, bc2001_g11965.t1, bc2001_g14187.t1, bc2001_g4658.t1, bc2001_g9184.t1, bc2001_g16023.t1, bc2001_g917.t1, bc2001_g19493.t1, bc2001_g19212.t3, bc2001_g19212.t2
OG0000012	dicty_g9325.t1	bc2001_g14176.t2, bc2001_g14176.t1
OG0000012	dicty_g7352.t1	bc2001_g3213.t1
OG0000012	dicty_g2256.t1	bc2001_g8222.t1
OG0000012	dicty_g9569.t1	bc2001_g14259.t1
OG0000020	dicty_g7565.t1	bc2001_g2496.t2, bc2001_g2496.t1
OG0000020	dicty_g5763.t1, dicty_g5759.t1, dicty_g5678.t1, dicty_g5732.t1, dicty_g10416.t1, dicty_g10416.t2, dicty_g8763.t2, dicty_g8763.t1, dicty_g8764.t1, dicty_g8764.t2, dicty_g7692.t1, dicty_g6065.t1, dicty_g6067.t1, dicty_g8860.t1, dicty_g8360.t1	bc2001_g528.t1, bc2001_g18812.t2, bc2001_g18812.t1, bc2001_g15557.t1
OG0000026	dicty_g7971.t1, dicty_g3126.t1, dicty_g7970.t1, dicty_g5407.t1, dicty_g7745.t1, dicty_g5495.t1, dicty_g10878.t1, dicty_g3125.t1, dicty_g1630.t1, dicty_g10586.t1, dicty_g11290.t1, dicty_g4195.t1, dicty_g7740.t1, dicty_g5142.t1, dicty_g1845.t1, dicty_g7257.t1, dicty_g4196.t1, dicty_g3941.t1, dicty_g6141.t1, dicty_g10583.t1, dicty_g10789.t1, dicty_g5473.t1, dicty_g5116.t1, dicty_g5547.t1, dicty_g10658.t1, dicty_g7950.t1, dicty_g9127.t1, dicty_g11082.t1, dicty_g7744.t1, dicty_g8260.t1, dicty_g5496.t1, dicty_g11278.t1, dicty_g1568.t1, dicty_g8288.t1, dicty_g7746.t1, dicty_g11396.t1, dicty_g5407.t2, dicty_g9856.t1, dicty_g10791.t1, dicty_g11482.t1, dicty_g10491.t1, dicty_g3890.t1, dicty_g10586.t2, dicty_g2245.t1, dicty_g3921.t1, dicty_g8259.t1, dicty_g4513.t1, dicty_g5294.t1, dicty_g10872.t1, dicty_g5141.t1, dicty_g2200.t1, dicty_g4028.t1, dicty_g10584.t1, dicty_g1629.t1	bc2001_g14773.t1, bc2001_g4538.t1, bc2001_g4539.t1
OG0000046	dicty_g7670.t1	bc2001_g5940.t1, bc2001_g17826.t2, bc2001_g9230.t1, bc2001_g924.t1, bc2001_g13824.t1, bc2001_g18706.t1, bc2001_g6518.t1, bc2001_g11284.t1, bc2001_g17731.t1, bc2001_g3870.t1, bc2001_g17947.t1, bc2001_g16046.t1, bc2001_g972.t1, bc2001_g10108.t1, bc2001_g12729.t1, bc2001_g18359.t1, bc2001_g12867.t1, bc2001_g5356.t1, bc2001_g11462.t1, bc2001_g6212.t1, bc2001_g8218.t1, bc2001_g19346.t1, bc2001_g12599.t1, bc2001_g10759.t1, bc2001_g8651.t1, bc2001_g3265.t1, bc2001_g6656.t1, bc2001_g3034.t1, bc2001_g3059.t1, bc2001_g8007.t1, bc2001_g10458.t1, bc2001_g16919.t1, bc2001_g15206.t1, bc2001_g13828.t1, bc2001_g18377.t1, bc2001_g13365.t1, bc2001_g1702.t1, bc2001_g12977.t1, bc2001_g7609.t1, bc2001_g12067.t1, bc2001_g13988.t1, bc2001_g4229.t1, bc2001_g8559.t1, bc2001_g14236.t2, bc2001_g14236.t1
OG0000060	dicty_g9825.t1	bc2001_g4002.t2, bc2001_g953.t1, bc2001_g2396.t1, bc2001_g4793.t1, bc2001_g4793.t2, bc2001_g13721.t1, bc2001_g1525.t1, bc2001_g5058.t1, bc2001_g3651.t2, bc2001_g2723.t1, bc2001_g6890.t1, bc2001_g14230.t1, bc2001_g17970.t1, bc2001_g7656.t1, bc2001_g3483.t1, bc2001_g11094.t1, bc2001_g392.t1, bc2001_g3053.t1, bc2001_g5301.t1, bc2001_g11069.t1, bc2001_g1519.t1, bc2001_g4636.t1, bc2001_g15880.t1, bc2001_g1337.t1
OG0000062	dicty_g11149.t1	bc2001_g9812.t1, bc2001_g10226.t1, bc2001_g10975.t1, bc2001_g149.t1, bc2001_g4246.t1, bc2001_g15908.t1, bc2001_g12202.t1, bc2001_g12355.t1, bc2001_g18773.t2, bc2001_g9566.t1, bc2001_g2862.t1, bc2001_g18383.t1, bc2001_g79.t1, bc2001_g14385.t1, bc2001_g5228.t1, bc2001_g3687.t1, bc2001_g14332.t1, bc2001_g5480.t1, bc2001_g13912.t1
OG0000091	dicty_g1465.t2, dicty_g1465.t1	bc2001_g3105.t1, bc2001_g3105.t2
OG0000091	dicty_g856.t1	bc2001_g9107.t1
OG0000091	dicty_g7703.t1	bc2001_g9015.t1, bc2001_g9015.t2
OG0000091	dicty_g8023.t1	bc2001_g11559.t2, bc2001_g11559.t1
OG0000091	dicty_g8022.t1	bc2001_g10508.t1
OG0000091	dicty_g10286.t1	bc2001_g11452.t2, bc2001_g11452.t1
OG0000092	dicty_g11339.t1	bc2001_g8482.t1, bc2001_g8482.t2, bc2001_g6775.t1, bc2001_g6775.t2, bc2001_g9815.t1, bc2001_g5566.t1
OG0000099	dicty_g1916.t1	bc2001_g502.t1, bc2001_g1450.t1
OG0000099	dicty_g6520.t1, dicty_g3445.t1	bc2001_g19159.t1
OG0000099	dicty_g8026.t1	bc2001_g6911.t2
OG0000107	dicty_g4040.t1	bc2001_g13230.t2, bc2001_g13230.t1
OG0000107	dicty_g11216.t1	bc2001_g10268.t3, bc2001_g10268.t1
OG0000107	dicty_g2795.t1, dicty_g2682.t1, dicty_g1527.t1, dicty_g11377.t1, dicty_g11379.t1	bc2001_g13247.t1, bc2001_g8434.t1, bc2001_g10017.t1
OG0000113	dicty_g8426.t1, dicty_g1250.t1, dicty_g1024.t1, dicty_g833.t1, dicty_g11272.t1, dicty_g8279.t1, dicty_g8048.t1, dicty_g2904.t1, dicty_g2572.t1, dicty_g3781.t1, dicty_g11407.t1, dicty_g11221.t1, dicty_g571.t1, dicty_g300.t1, dicty_g6120.t1, dicty_g7655.t1, dicty_g827.t1, dicty_g1356.t1, dicty_g1435.t1, dicty_g9381.t2, dicty_g1249.t1, dicty_g3854.t1, dicty_g697.t1, dicty_g9381.t1, dicty_g1023.t1, dicty_g6495.t1, dicty_g4197.t1, dicty_g876.t1, dicty_g6585.t1, dicty_g336.t1	bc2001_g6858.t1
OG0000117	dicty_g8230.t1	bc2001_g771.t1
OG0000123	dicty_g4060.t1	bc2001_g8496.t1
OG0000123	dicty_g9411.t1	bc2001_g3189.t1
OG0000123	dicty_g3073.t1	bc2001_g404.t3, bc2001_g404.t1, bc2001_g404.t2
OG0000123	dicty_g3610.t1	bc2001_g15665.t1
OG0000123	dicty_g9452.t1, dicty_g9216.t1	bc2001_g13931.t1
OG0000123	dicty_g5676.t1	bc2001_g4432.t1
OG0000124	dicty_g3670.t1, dicty_g3951.t1	bc2001_g12016.t1, bc2001_g12045.t1
OG0000124	dicty_g3990.t1, dicty_g8436.t1	bc2001_g11478.t1
OG0000124	dicty_g908.t1	bc2001_g3022.t1
OG0000125	dicty_g10572.t1	bc2001_g8920.t2, bc2001_g8920.t1
OG0000125	dicty_g9927.t2, dicty_g9927.t1	bc2001_g6333.t1, bc2001_g6333.t2
OG0000126	dicty_g5630.t1	bc2001_g16015.t1, bc2001_g4551.t2, bc2001_g4551.t1, bc2001_g11216.t3, bc2001_g11216.t1, bc2001_g11216.t2
OG0000127	dicty_g4918.t1, dicty_g2757.t1, dicty_g2721.t1	bc2001_g19114.t2, bc2001_g19114.t1
OG0000127	dicty_g2128.t1	bc2001_g9269.t2, bc2001_g9269.t1
OG0000131	dicty_g11506.t1, dicty_g11494.t1	bc2001_g11537.t1, bc2001_g7430.t1, bc2001_g9058.t1, bc2001_g4670.t1, bc2001_g980.t1
OG0000132	dicty_g11263.t1	bc2001_g9867.t1, bc2001_g6038.t1, bc2001_g12071.t1, bc2001_g3065.t1, bc2001_g14703.t1, bc2001_g16059.t1, bc2001_g19657.t1, bc2001_g19564.t1, bc2001_g1085.t1, bc2001_g9139.t1, bc2001_g10774.t1, bc2001_g6207.t1, bc2001_g12534.t1, bc2001_g5351.t1
OG0000133	dicty_g3501.t1	bc2001_g1444.t1, bc2001_g9516.t1, bc2001_g13838.t1, bc2001_g3874.t1, bc2001_g13754.t1, bc2001_g9217.t1, bc2001_g1863.t1, bc2001_g14269.t1, bc2001_g9305.t1, bc2001_g1445.t1, bc2001_g6320.t1
OG0000140	dicty_g9393.t1	bc2001_g3472.t1
OG0000147	dicty_g108.t1	bc2001_g9271.t1
OG0000147	dicty_g3998.t1	bc2001_g11480.t1, bc2001_g11480.t2
OG0000153	dicty_g3765.t1	bc2001_g9617.t1, bc2001_g505.t1
OG0000160	dicty_g9087.t1, dicty_g8825.t1	bc2001_g14819.t1
OG0000161	dicty_g11132.t1, dicty_g11255.t1	bc2001_g11632.t2, bc2001_g8584.t1, bc2001_g8597.t1, bc2001_g16501.t1, bc2001_g6389.t1
OG0000162	dicty_g2662.t1, dicty_g2815.t1	bc2001_g9622.t1, bc2001_g64.t1, bc2001_g14770.t1, bc2001_g14681.t1, bc2001_g13895.t2, bc2001_g13895.t1
OG0000171	dicty_g2177.t1	bc2001_g3964.t2
OG0000171	dicty_g6853.t1	bc2001_g9380.t2, bc2001_g9380.t1
OG0000171	dicty_g9915.t1	bc2001_g16880.t1
OG0000182	dicty_g10630.t1, dicty_g283.t1, dicty_g10636.t1	bc2001_g10190.t1, bc2001_g10201.t1, bc2001_g19716.t1, bc2001_g2930.t1
OG0000183	dicty_g6492.t1	bc2001_g16328.t1, bc2001_g11047.t1, bc2001_g18901.t1, bc2001_g7803.t1, bc2001_g4428.t1, bc2001_g11046.t1, bc2001_g4330.t1, bc2001_g101.t1, bc2001_g7878.t1, bc2001_g14352.t1, bc2001_g4315.t1
OG0000188	dicty_g11528.t1, dicty_g11539.t1, dicty_g11562.t1, dicty_g4555.t1, dicty_g71.t1, dicty_g4554.t1, dicty_g11561.t1, dicty_g11512.t1, dicty_g11538.t1, dicty_g11566.t1, dicty_g91.t1, dicty_g4560.t1, dicty_g6131.t1, dicty_g11529.t1, dicty_g11559.t1, dicty_g85.t1, dicty_g11513.t1, dicty_g70.t1, dicty_g11500.t1, dicty_g5494.t1, dicty_g86.t1, dicty_g1231.t1	bc2001_g6485.t1
OG0000191	dicty_g6407.t1, dicty_g8346.t1	bc2001_g14262.t1, bc2001_g16253.t1
OG0000192	dicty_g3374.t1, dicty_g10275.t1, dicty_g10181.t1	bc2001_g16930.t1, bc2001_g4862.t1, bc2001_g17811.t1, bc2001_g5239.t1, bc2001_g5239.t2
OG0000194	dicty_g3620.t1	bc2001_g18015.t2, bc2001_g18015.t3, bc2001_g18015.t1, bc2001_g2791.t1, bc2001_g2952.t1, bc2001_g14776.t1, bc2001_g6738.t1, bc2001_g8060.t1, bc2001_g14509.t1, bc2001_g16934.t3, bc2001_g16934.t2, bc2001_g16934.t1
OG0000195	dicty_g2665.t1, dicty_g2812.t1, dicty_g4751.t1, dicty_g9122.t1, dicty_g8193.t1, dicty_g8193.t2, dicty_g5073.t2, dicty_g5073.t1, dicty_g8439.t1	bc2001_g11678.t1, bc2001_g7493.t1
OG0000206	dicty_g4545.t1	bc2001_g13743.t1
OG0000223	dicty_g10527.t1, dicty_g3491.t1, dicty_g2379.t1, dicty_g342.t1, dicty_g8313.t1, dicty_g3375.t1	bc2001_g18654.t1, bc2001_g19537.t1, bc2001_g19526.t1
OG0000224	dicty_g10347.t1, dicty_g1106.t1	bc2001_g3069.t1, bc2001_g322.t1, bc2001_g17511.t1
OG0000227	dicty_g5381.t1	bc2001_g14422.t1
OG0000227	dicty_g817.t1, dicty_g4722.t1, dicty_g6619.t1	bc2001_g13233.t1
OG0000229	dicty_g8238.t1	bc2001_g12817.t3, bc2001_g12817.t1, bc2001_g12817.t2, bc2001_g7436.t1, bc2001_g7973.t2, bc2001_g7973.t1, bc2001_g2045.t1
OG0000230	dicty_g429.t1	bc2001_g1580.t1, bc2001_g1580.t2, bc2001_g1580.t3, bc2001_g16805.t1, bc2001_g16805.t2, bc2001_g1808.t1, bc2001_g13447.t1, bc2001_g1323.t1, bc2001_g18201.t1, bc2001_g1808.t2
OG0000231	dicty_g5978.t1, dicty_g5624.t1, dicty_g5838.t1, dicty_g5980.t1, dicty_g5836.t1, dicty_g10823.t1, dicty_g7101.t1, dicty_g6185.t1, dicty_g5984.t1, dicty_g5982.t1, dicty_g5839.t1, dicty_g10413.t1	bc2001_g5115.t1
OG0000232	dicty_g398.t1	bc2001_g14139.t1, bc2001_g14139.t2, bc2001_g14139.t3, bc2001_g16971.t2, bc2001_g16971.t1, bc2001_g16913.t1
OG0000248	dicty_g5148.t1	bc2001_g15762.t1, bc2001_g2123.t1, bc2001_g11570.t1, bc2001_g15724.t1, bc2001_g15615.t1, bc2001_g11357.t1
OG0000251	dicty_g6321.t1, dicty_g2028.t1, dicty_g9938.t1, dicty_g3923.t1, dicty_g9513.t1	bc2001_g19674.t1, bc2001_g8193.t2, bc2001_g8193.t1
OG0000252	dicty_g3485.t1	bc2001_g7772.t1
OG0000252	dicty_g4965.t2, dicty_g4965.t1	bc2001_g12892.t1, bc2001_g16723.t2, bc2001_g16723.t1
OG0000254	dicty_g4484.t1, dicty_g5286.t1, dicty_g5286.t2	bc2001_g607.t3, bc2001_g607.t2, bc2001_g607.t1
OG0000255	dicty_g2472.t1	bc2001_g8629.t1, bc2001_g8629.t2
OG0000256	dicty_g4126.t1, dicty_g8092.t1, dicty_g1713.t1	bc2001_g15559.t1, bc2001_g15559.t3
OG0000257	dicty_g11393.t1	bc2001_g8664.t1
OG0000257	dicty_g9426.t1	bc2001_g17133.t1
OG0000257	dicty_g8395.t1	bc2001_g16504.t1
OG0000258	dicty_g10215.t1, dicty_g180.t1, dicty_g8524.t1	bc2001_g13439.t1
OG0000259	dicty_g41.t1, dicty_g4713.t1	bc2001_g12040.t1, bc2001_g14329.t1, bc2001_g1555.t1, bc2001_g8796.t1, bc2001_g6383.t1, bc2001_g16978.t1
OG0000271	dicty_g2022.t1	bc2001_g12821.t1
OG0000271	dicty_g4127.t1	bc2001_g8454.t1, bc2001_g3879.t1
OG0000274	dicty_g4294.t1, dicty_g4231.t1	bc2001_g17140.t1, bc2001_g11087.t1, bc2001_g7784.t1
OG0000275	dicty_g1567.t1	bc2001_g18770.t3, bc2001_g18730.t4
OG0000275	dicty_g4169.t1	bc2001_g5424.t1
OG0000276	dicty_g5913.t1	bc2001_g8776.t1
OG0000276	dicty_g687.t1	bc2001_g331.t1
OG0000277	dicty_g8134.t1, dicty_g5127.t1	bc2001_g4458.t1, bc2001_g465.t1, bc2001_g8394.t1
OG0000278	dicty_g9752.t1, dicty_g9751.t1, dicty_g9753.t1, dicty_g9694.t1, dicty_g1931.t1, dicty_g9613.t1	bc2001_g8692.t3, bc2001_g8692.t2, bc2001_g8692.t1
OG0000284	dicty_g11249.t1	bc2001_g17637.t1
OG0000284	dicty_g5516.t1, dicty_g5516.t2	bc2001_g7086.t1
OG0000284	dicty_g10508.t1	bc2001_g7433.t1
OG0000290	dicty_g5826.t1	bc2001_g2932.t1, bc2001_g2932.t2
OG0000290	dicty_g11068.t1	bc2001_g2044.t3, bc2001_g17794.t1
