gene,KO_ID
g14235.t1,K17701
g14238.t1,K26935
g14239.t1,K03107
g14240.t1,K22530
g14247.t1,K01365
g14250.t1,K10728
g14223.t1,K08829
g14224.t1,K13026
g14227.t2,K02883
g14229.t1,K00869
g14229.t2,K00869
g14233.t1,K10260
g14214.t1,K01555
g14187.t2,K20891
g14191.t1,K07937
g14197.t1,K03163
g14203.t1,K12164
g14179.t1,K14209
g14175.t1,K03099
g14177.t1,K13761
g14145.t1,K10600
g14148.t1,K26500
g14149.t1,K02910
g14151.t1,K10807
g14154.t1,K18667
g14157.t1,K14455
g14159.t1,K01950
g14160.t1,K04392
g14162.t1,K03240
g14163.t1,K12180
g14165.t1,K03258
g14133.t1,K01408
g14136.t1,K15378
g14140.t1,K03456
g14115.t1,K03026
g14089.t1,K09658
g13555.t1,K01115
g13556.t1,K18182
g13559.t1,K14379
g13560.t1,K01895
g13561.t1,K00729
g13561.t2,K00729
g13562.t1,K10598
g13564.t3,K13151
g13566.t1,K11827
g13568.t1,K26099
g13577.t1,K14318
g13578.t1,K21766
g13580.t1,K08516
g13583.t1,K01412
g13585.t1,K12592
g13587.t1,K17498
g13590.t1,K07297
g13591.t1,K00615
g13594.t1,K26979
g13595.t1,K14550
g13602.t1,K19613
g13608.t1,K10800
g13609.t1,K10686
g13611.t1,K00456
g13619.t1,K03106
g13621.t1,K11416
g13621.t2,K11416
g13622.t1,K02930
g13624.t1,K11789
g13633.t1,K20473
g13634.t1,K10579
g13634.t2,K10579
g13635.t1,K12176
g13639.t1,K24752
g13648.t1,K13528
g13649.t1,K25829
g13650.t1,K11352
g13650.t2,K11352
g13651.t1,K20776
g13652.t1,K10732
g13657.t1,K01785
g13664.t1,K18172
g13665.t1,K04508
g13666.t1,K08844
g13672.t1,K13237
g13673.t1,K17500
g13673.t2,K17500
g13674.t1,K08796
g13677.t2,K02995
g13678.t1,K14861
g13679.t1,K02327
g13679.t2,K02327
g13681.t1,K10599
g13693.t1,K08900
g13695.t1,K04352
g13698.t1,K03099
g13701.t1,K07305
g13720.t2,K23569
g13722.t1,K11095
g13726.t1,K18749
g13730.t1,K06628
g13731.t1,K02328
g13732.t1,K14003
g13741.t1,K00609
g13744.t1,K20045
g13746.t1,K10867
g13747.t1,K15732
g13748.t1,K14786
g13749.t1,K16196
g13750.t3,K07393
g13752.t1,K16185
g13752.t2,K16185
g13755.t1,K03094
g13755.t2,K03094
g13758.t1,K00457
g13761.t1,K09496
g13762.t1,K14288
g13770.t1,K12627
g13771.t1,K01056
g13771.t2,K01056
g13773.t1,K17805
g13780.t1,K08779
g13790.t1,K13195
g13790.t2,K13195
g13791.t1,K12626
g13794.t1,K20649
g13794.t2,K20649
g13797.t1,K10980
g13799.t1,K00059
g13800.t1,K17759
g13801.t1,K17759
g13803.t1,K11416
g13806.t1,K00921
g13810.t1,K03686
g13812.t1,K10260
g13813.t1,K01551
g13821.t1,K13218
g13821.t2,K13218
g13822.t1,K03685
g13823.t1,K03133
g13824.t1,K11600
g13832.t1,K12617
g13832.t2,K12617
g13833.t1,K14864
g13834.t1,K23309
g13837.t1,K02955
g13838.t1,K02735
g13839.t1,K03037
g13840.t1,K01783
g13840.t2,K01783
g13842.t1,K11835
g13845.t1,K14309
g13845.t2,K14309
g13846.t1,K17080
g13853.t1,K03012
g13854.t1,K17979
g13856.t1,K02896
g13857.t1,K05681
g13858.t1,K08900
g13860.t1,K14766
g13862.t1,K06013
g13865.t1,K18592
g13869.t2,K08900
g13887.t1,K16449
g13889.t1,K16449
g13890.t1,K03943
g13891.t2,K01090
g13893.t1,K17888
g13894.t1,K03870
g13900.t1,K02949
g13901.t1,K09497
g13902.t1,K00167
g13903.t1,K08851
g13917.t1,K11844
g13923.t1,K14168
g13932.t1,K27398
g13932.t2,K27398
g13934.t1,K03145
g13935.t1,K20296
g13935.t3,K20296
g13936.t1,K15407
g13936.t2,K15407
g13938.t1,K18441
g13939.t1,K03036
g13940.t1,K08592
g13942.t1,K01613
g13943.t1,K00967
g13946.t1,K06115
g13946.t2,K06115
g13947.t1,K12394
g13950.t1,K07950
g13951.t1,K01148
g13952.t1,K26501
g13953.t1,K14569
g13955.t1,K01176
g13960.t1,K11087
g13962.t1,K12472
g13968.t1,K20642
g13968.t2,K20642
g13970.t1,K13519
g13972.t1,K21396
g13973.t1,K14684
g13973.t2,K14684
g13974.t1,K04640
g13975.t1,K01057
g13982.t1,K00966
g13988.t1,K01431
g13989.t1,K07203
g13990.t1,K03099
g13992.t1,K08515
g13993.t1,K11855
g13994.t1,K09699
g14001.t1,K00029
g14001.t2,K00029
g14002.t1,K17866
g14004.t1,K09595
g14004.t2,K09595
g14006.t1,K02902
g14007.t1,K17800
g14007.t2,K17800
g14011.t1,K00710
g14012.t1,K08730
g14013.t1,K17422
g14014.t1,K10886
g14015.t1,K06974
g14019.t1,K10273
g14020.t1,K02603
g14021.t1,K05662
g14021.t2,K05662
g14026.t1,K07918
g14028.t1,K06268
g14032.t1,K01373
g14034.t1,K15423
g14035.t1,K05765
g14036.t1,K18211
g14037.t1,K10684
g14038.t1,K07127
g14047.t1,K15281
g14047.t2,K15281
g14049.t1,K01726
g14050.t1,K01900
