Orthogroup	bc2002_braker	acastellanii_braker
OG0000001	bc2002_g11785.t1, bc2002_g11918.t1, bc2002_g18328.t1, bc2002_g18358.t1, bc2002_g5561.t1, bc2002_g2670.t1, bc2002_g11595.t1, bc2002_g6140.t1, bc2002_g3485.t1, bc2002_g3488.t1, bc2002_g1689.t1, bc2002_g19066.t1, bc2002_g12895.t1, bc2002_g12893.t1, bc2002_g10627.t1, bc2002_g8015.t1, bc2002_g13344.t1, bc2002_g2326.t1, bc2002_g13931.t1, bc2002_g963.t1, bc2002_g5669.t1, bc2002_g5669.t2, bc2002_g2810.t1, bc2002_g3176.t1, bc2002_g12205.t1, bc2002_g14236.t1, bc2002_g5250.t1, bc2002_g595.t1, bc2002_g512.t1, bc2002_g15159.t1, bc2002_g14201.t1, bc2002_g8611.t1, bc2002_g16336.t1, bc2002_g19797.t1, bc2002_g19669.t1, bc2002_g15089.t1, bc2002_g728.t1, bc2002_g19654.t1, bc2002_g18431.t1, bc2002_g140.t1, bc2002_g7349.t1, bc2002_g9111.t1, bc2002_g2596.t1, bc2002_g16527.t2, bc2002_g7589.t1, bc2002_g16668.t1, bc2002_g1987.t1, bc2002_g15077.t1, bc2002_g1674.t1, bc2002_g1674.t2, bc2002_g12283.t1, bc2002_g4232.t1, bc2002_g17766.t1, bc2002_g2963.t1, bc2002_g10169.t1, bc2002_g10151.t1, bc2002_g12170.t1, bc2002_g2038.t1, bc2002_g2072.t1, bc2002_g18599.t1, bc2002_g7984.t1, bc2002_g9820.t1, bc2002_g8747.t1, bc2002_g714.t1, bc2002_g714.t2, bc2002_g10600.t1, bc2002_g4524.t1, bc2002_g8530.t1, bc2002_g13159.t1, bc2002_g5573.t1, bc2002_g3991.t1, bc2002_g15370.t1, bc2002_g10426.t1, bc2002_g1392.t1, bc2002_g15327.t1, bc2002_g14111.t1, bc2002_g537.t1, bc2002_g4035.t1, bc2002_g13963.t1, bc2002_g15282.t1	acastellanii_g3331.t1
OG0000003	bc2002_g13890.t1	acastellanii_g6152.t1
OG0000008	bc2002_g1441.t1, bc2002_g13844.t1, bc2002_g14848.t1, bc2002_g5903.t1, bc2002_g235.t1, bc2002_g9920.t1, bc2002_g11752.t1, bc2002_g14948.t1, bc2002_g10851.t1, bc2002_g13796.t1, bc2002_g16216.t1, bc2002_g2290.t1, bc2002_g16915.t1, bc2002_g10565.t1, bc2002_g15808.t1, bc2002_g7238.t1, bc2002_g7228.t1, bc2002_g5900.t1, bc2002_g7233.t1, bc2002_g1119.t1, bc2002_g182.t1, bc2002_g9327.t1, bc2002_g205.t1, bc2002_g11889.t1, bc2002_g15375.t1, bc2002_g9253.t1, bc2002_g2118.t1	acastellanii_g7762.t1
OG0000012	bc2002_g11083.t1	acastellanii_g11603.t1
OG0000012	bc2002_g250.t1	acastellanii_g12458.t1, acastellanii_g13286.t1
OG0000012	bc2002_g5695.t1	acastellanii_g11600.t1, acastellanii_g11814.t1, acastellanii_g11722.t1, acastellanii_g2764.t1, acastellanii_g9933.t1, acastellanii_g367.t1, acastellanii_g6978.t1, acastellanii_g4373.t1, acastellanii_g7979.t1, acastellanii_g4375.t1, acastellanii_g7661.t1
OG0000020	bc2002_g14977.t1	acastellanii_g2918.t1, acastellanii_g13261.t1
OG0000020	bc2002_g16498.t1, bc2002_g4567.t1, bc2002_g4567.t2, bc2002_g17819.t1	acastellanii_g5052.t1, acastellanii_g4360.t1, acastellanii_g4022.t1, acastellanii_g4022.t2, acastellanii_g2344.t2, acastellanii_g2344.t1
OG0000043	bc2002_g10861.t1, bc2002_g6607.t1, bc2002_g16259.t1, bc2002_g20034.t1, bc2002_g7775.t1, bc2002_g17732.t1, bc2002_g5077.t1, bc2002_g9114.t1, bc2002_g11284.t1, bc2002_g2760.t1, bc2002_g13042.t1, bc2002_g14824.t1, bc2002_g19322.t1, bc2002_g1611.t1, bc2002_g13953.t1, bc2002_g8979.t1, bc2002_g19705.t1, bc2002_g19820.t1, bc2002_g3048.t1, bc2002_g10598.t1, bc2002_g15422.t1, bc2002_g2852.t1	acastellanii_g5071.t1
OG0000062	bc2002_g12166.t1, bc2002_g16806.t1, bc2002_g5300.t1, bc2002_g8741.t1, bc2002_g2683.t1, bc2002_g12165.t1, bc2002_g5133.t1, bc2002_g17786.t1, bc2002_g9831.t1, bc2002_g11509.t1, bc2002_g16076.t1, bc2002_g8810.t1, bc2002_g6551.t1, bc2002_g3402.t1, bc2002_g5134.t1, bc2002_g10365.t1, bc2002_g17854.t1, bc2002_g5762.t1, bc2002_g7014.t1, bc2002_g14656.t1	acastellanii_g5746.t1
OG0000082	bc2002_g7244.t1, bc2002_g1226.t1, bc2002_g9378.t1, bc2002_g3801.t1, bc2002_g2879.t1, bc2002_g424.t1, bc2002_g9259.t1, bc2002_g1236.t1, bc2002_g7241.t1, bc2002_g18656.t1, bc2002_g18657.t1, bc2002_g18302.t1, bc2002_g460.t1, bc2002_g12093.t1, bc2002_g13662.t1, bc2002_g15799.t1, bc2002_g4179.t1, bc2002_g11061.t1	acastellanii_g4310.t1
OG0000085	bc2002_g2515.t1, bc2002_g3860.t1, bc2002_g4561.t1, bc2002_g12239.t3	acastellanii_g1238.t1, acastellanii_g2499.t1, acastellanii_g11086.t1
OG0000091	bc2002_g5925.t1	acastellanii_g4765.t1
OG0000091	bc2002_g2422.t1	acastellanii_g7496.t1
OG0000091	bc2002_g12523.t1	acastellanii_g1337.t1
OG0000091	bc2002_g789.t1	acastellanii_g7077.t1
OG0000091	bc2002_g12632.t2, bc2002_g12632.t1	acastellanii_g9199.t1, acastellanii_g10866.t1
OG0000092	bc2002_g9453.t1, bc2002_g9453.t2, bc2002_g9453.t3, bc2002_g10311.t2, bc2002_g11883.t1, bc2002_g20079.t1	acastellanii_g6066.t1, acastellanii_g3484.t1, acastellanii_g5561.t1, acastellanii_g5564.t1, acastellanii_g5559.t1
OG0000093	bc2002_g12624.t1, bc2002_g12623.t1, bc2002_g8561.t1, bc2002_g7235.t1, bc2002_g4571.t1, bc2002_g10926.t1, bc2002_g83.t2, bc2002_g15553.t1, bc2002_g83.t1, bc2002_g7319.t1, bc2002_g9270.t1, bc2002_g8134.t1, bc2002_g3908.t1, bc2002_g1907.t1, bc2002_g16172.t1, bc2002_g4218.t1, bc2002_g20054.t1	acastellanii_g6680.t1
OG0000099	bc2002_g6637.t1	acastellanii_g5646.t1
OG0000099	bc2002_g18823.t1	acastellanii_g3519.t1, acastellanii_g9224.t1, acastellanii_g3918.t1
OG0000107	bc2002_g13366.t2, bc2002_g13366.t1	acastellanii_g2122.t1
OG0000107	bc2002_g16765.t2, bc2002_g16765.t1	acastellanii_g6136.t1
OG0000107	bc2002_g13348.t1, bc2002_g9403.t1, bc2002_g11972.t1, bc2002_g17025.t1	acastellanii_g1565.t1, acastellanii_g357.t1
OG0000117	bc2002_g8010.t1	acastellanii_g14219.t1, acastellanii_g14219.t2
OG0000118	bc2002_g17093.t2, bc2002_g6139.t1, bc2002_g1533.t1, bc2002_g3599.t1, bc2002_g14193.t1, bc2002_g4480.t1, bc2002_g1516.t1, bc2002_g2575.t1, bc2002_g17964.t1, bc2002_g17093.t1, bc2002_g4124.t1, bc2002_g1411.t1, bc2002_g12702.t1, bc2002_g14688.t1, bc2002_g15707.t1, bc2002_g3001.t1, bc2002_g12020.t1	acastellanii_g372.t1
OG0000123	bc2002_g9466.t1	acastellanii_g9182.t1
OG0000123	bc2002_g17924.t1	acastellanii_g13234.t1
OG0000123	bc2002_g10481.t1	acastellanii_g953.t1
OG0000124	bc2002_g1823.t1, bc2002_g1853.t1	acastellanii_g5054.t2, acastellanii_g4361.t1, acastellanii_g5054.t1
OG0000124	bc2002_g16477.t1	acastellanii_g11567.t1
OG0000124	bc2002_g12603.t1	acastellanii_g11844.t1, acastellanii_g11844.t2
OG0000124	bc2002_g11811.t1	acastellanii_g5449.t2, acastellanii_g5449.t1
OG0000125	bc2002_g9028.t2, bc2002_g9028.t1	acastellanii_g11868.t1
OG0000126	bc2002_g9122.t1, bc2002_g6449.t1, bc2002_g6449.t2, bc2002_g8037.t1	acastellanii_g3820.t1, acastellanii_g3778.t1
OG0000127	bc2002_g6684.t1	acastellanii_g3489.t1
OG0000127	bc2002_g5246.t1, bc2002_g19924.t1	acastellanii_g1391.t1, acastellanii_g589.t1
OG0000147	bc2002_g18469.t1	acastellanii_g5769.t1, acastellanii_g5769.t2
OG0000147	bc2002_g12601.t1, bc2002_g12601.t2	acastellanii_g5643.t2, acastellanii_g5643.t1
OG0000153	bc2002_g18225.t1, bc2002_g1620.t1	acastellanii_g5416.t1, acastellanii_g5536.t1, acastellanii_g5536.t2, acastellanii_g788.t1, acastellanii_g776.t1, acastellanii_g3102.t1
OG0000160	bc2002_g4407.t1	acastellanii_g4300.t2, acastellanii_g4300.t1, acastellanii_g7628.t1
OG0000160	bc2002_g8794.t4, bc2002_g8794.t1, bc2002_g8794.t2	acastellanii_g2497.t1, acastellanii_g1235.t1
OG0000161	bc2002_g12764.t1	acastellanii_g2726.t1, acastellanii_g2740.t1
OG0000161	bc2002_g12444.t2, bc2002_g17154.t1, bc2002_g17703.t1, bc2002_g3521.t1	acastellanii_g9623.t1, acastellanii_g5929.t1, acastellanii_g10722.t1, acastellanii_g3422.t1, acastellanii_g1983.t2, acastellanii_g1983.t1, acastellanii_g12181.t1
OG0000162	bc2002_g18220.t1, bc2002_g8825.t1	acastellanii_g5170.t1
OG0000162	bc2002_g9611.t2, bc2002_g9707.t1, bc2002_g1433.t1, bc2002_g14640.t2, bc2002_g14640.t1	acastellanii_g6076.t1
OG0000171	bc2002_g14774.t1	acastellanii_g14034.t1
OG0000171	bc2002_g2363.t1	acastellanii_g6384.t1, acastellanii_g604.t1
OG0000171	bc2002_g3269.t1	acastellanii_g11241.t2, acastellanii_g11241.t1
OG0000171	bc2002_g2.t1	acastellanii_g5405.t1
OG0000181	bc2002_g19796.t1, bc2002_g12914.t1, bc2002_g15285.t1, bc2002_g1266.t1, bc2002_g17523.t1, bc2002_g16393.t1	acastellanii_g9394.t1, acastellanii_g9394.t2, acastellanii_g14187.t2, acastellanii_g14187.t1, acastellanii_g12699.t1, acastellanii_g12694.t1, acastellanii_g669.t1
OG0000182	bc2002_g16840.t1, bc2002_g16830.t1, bc2002_g16703.t1	acastellanii_g710.t1, acastellanii_g5721.t2, acastellanii_g5721.t1, acastellanii_g5725.t1, acastellanii_g5724.t1, acastellanii_g13084.t1
OG0000182	bc2002_g11581.t1	acastellanii_g13427.t1, acastellanii_g979.t1, acastellanii_g11098.t1
OG0000191	bc2002_g5697.t1, bc2002_g8523.t1	acastellanii_g10978.t1, acastellanii_g10978.t2, acastellanii_g6154.t1
OG0000192	bc2002_g3326.t1, bc2002_g10813.t1, bc2002_g430.t1, bc2002_g3391.t1, bc2002_g3391.t2	acastellanii_g9639.t1, acastellanii_g9639.t2, acastellanii_g2536.t1, acastellanii_g2704.t1, acastellanii_g3188.t1, acastellanii_g14032.t1, acastellanii_g3968.t1
OG0000193	bc2002_g7977.t1	acastellanii_g13271.t1
OG0000194	bc2002_g2764.t1, bc2002_g19899.t1, bc2002_g4472.t1, bc2002_g9605.t1, bc2002_g5155.t1, bc2002_g11603.t1, bc2002_g3330.t1	acastellanii_g5200.t1
OG0000195	bc2002_g12399.t1, bc2002_g13932.t1	acastellanii_g4908.t1
OG0000206	bc2002_g14478.t1	acastellanii_g9263.t1, acastellanii_g6455.t1, acastellanii_g4515.t1, acastellanii_g5986.t1, acastellanii_g5508.t1, acastellanii_g9262.t1
OG0000223	bc2002_g13605.t1	acastellanii_g10807.t1
OG0000223	bc2002_g1985.t1, bc2002_g1974.t1	acastellanii_g7378.t1, acastellanii_g13174.t1, acastellanii_g9591.t1
OG0000224	bc2002_g11757.t1	acastellanii_g2119.t1, acastellanii_g12413.t1, acastellanii_g12412.t1, acastellanii_g12724.t1, acastellanii_g12431.t1, acastellanii_g9528.t1, acastellanii_g7302.t1, acastellanii_g1709.t1, acastellanii_g7213.t1, acastellanii_g3000.t1
OG0000226	bc2002_g6536.t1	acastellanii_g10506.t1, acastellanii_g10506.t2
OG0000226	bc2002_g11225.t1	acastellanii_g12477.t1
OG0000227	bc2002_g16284.t1	acastellanii_g2323.t1, acastellanii_g6551.t2
OG0000227	bc2002_g4410.t1, bc2002_g13363.t1, bc2002_g4605.t1	acastellanii_g9824.t1, acastellanii_g10591.t1, acastellanii_g7092.t1
OG0000228	bc2002_g19840.t1, bc2002_g6784.t1, bc2002_g12071.t1, bc2002_g10556.t1, bc2002_g10035.t1, bc2002_g15884.t1, bc2002_g9360.t1	acastellanii_g5201.t1
OG0000229	bc2002_g2971.t1, bc2002_g2971.t2, bc2002_g13875.t1, bc2002_g15558.t2, bc2002_g15558.t1, bc2002_g8261.t1	acastellanii_g3986.t1, acastellanii_g3986.t2
OG0000230	bc2002_g15287.t1, bc2002_g17400.t1, bc2002_g18831.t1, bc2002_g9120.t1, bc2002_g15898.t1, bc2002_g3992.t1	acastellanii_g3924.t1
OG0000231	bc2002_g19811.t1	acastellanii_g3079.t2, acastellanii_g3079.t1, acastellanii_g3075.t1
OG0000232	bc2002_g8940.t1, bc2002_g11048.t1, bc2002_g11048.t2, bc2002_g11048.t3, bc2002_g7885.t1, bc2002_g3303.t1	acastellanii_g2850.t1
OG0000248	bc2002_g929.t1, bc2002_g18780.t2, bc2002_g18780.t1, bc2002_g4510.t1, bc2002_g11371.t1, bc2002_g12512.t1, bc2002_g2530.t1	acastellanii_g12983.t1
OG0000250	bc2002_g9445.t1, bc2002_g9558.t1, bc2002_g7858.t2, bc2002_g7858.t1	acastellanii_g7819.t1, acastellanii_g5723.t1, acastellanii_g5719.t1, acastellanii_g6840.t1, acastellanii_g12558.t1, acastellanii_g9806.t1, acastellanii_g9807.t1
OG0000252	bc2002_g2894.t1, bc2002_g17481.t1, bc2002_g17481.t2	acastellanii_g11673.t1, acastellanii_g7450.t1
OG0000254	bc2002_g1655.t3, bc2002_g1655.t2, bc2002_g1655.t1	acastellanii_g11138.t1
OG0000256	bc2002_g17820.t1, bc2002_g17820.t2, bc2002_g18598.t1	acastellanii_g7294.t1, acastellanii_g10175.t2, acastellanii_g10175.t1, acastellanii_g10175.t3
OG0000257	bc2002_g17226.t1	acastellanii_g942.t1
OG0000257	bc2002_g7758.t1	acastellanii_g3017.t1, acastellanii_g8027.t1
OG0000257	bc2002_g17700.t1	acastellanii_g3279.t1
OG0000258	bc2002_g19199.t1	acastellanii_g7437.t1
OG0000259	bc2002_g5759.t1, bc2002_g3526.t1, bc2002_g1848.t1, bc2002_g17359.t1, bc2002_g15264.t1, bc2002_g7891.t1	acastellanii_g4710.t1
OG0000271	bc2002_g2967.t1	acastellanii_g8099.t1
OG0000271	bc2002_g9423.t1, bc2002_g12787.t1	acastellanii_g10453.t1
OG0000272	bc2002_g19464.t1	acastellanii_g13228.t1, acastellanii_g6734.t1
OG0000274	bc2002_g10286.t1, bc2002_g7763.t1, bc2002_g6401.t1	acastellanii_g8189.t1, acastellanii_g12742.t1, acastellanii_g3847.t1
OG0000275	bc2002_g7.t2, bc2002_g46.t1, bc2002_g46.t2, bc2002_g46.t3, bc2002_g7.t1	acastellanii_g901.t1, acastellanii_g148.t1, acastellanii_g3527.t1
OG0000275	bc2002_g6960.t1	acastellanii_g12192.t2, acastellanii_g12192.t1
OG0000276	bc2002_g11749.t1	acastellanii_g3730.t1, acastellanii_g3730.t2, acastellanii_g3729.t1, acastellanii_g11430.t1, acastellanii_g1977.t1, acastellanii_g10481.t1, acastellanii_g10481.t2, acastellanii_g1140.t1, acastellanii_g3400.t1
OG0000277	bc2002_g10381.t1, bc2002_g10454.t1, bc2002_g9367.t1	acastellanii_g10680.t1, acastellanii_g9056.t1, acastellanii_g5989.t1
OG0000290	bc2002_g11584.t1	acastellanii_g1516.t1, acastellanii_g2549.t1
OG0000290	bc2002_g8259.t1	acastellanii_g807.t3, acastellanii_g807.t2, acastellanii_g807.t1
OG0000290	bc2002_g451.t1	acastellanii_g13636.t1
OG0000291	bc2002_g5117.t1	acastellanii_g388.t1
OG0000291	bc2002_g10528.t1	acastellanii_g13974.t3
OG0000292	bc2002_g5919.t1, bc2002_g4415.t1, bc2002_g2524.t1	acastellanii_g13989.t1, acastellanii_g2169.t1, acastellanii_g4249.t1, acastellanii_g8245.t1
OG0000293	bc2002_g8131.t1, bc2002_g8441.t1, bc2002_g6122.t1, bc2002_g19837.t1, bc2002_g8442.t1, bc2002_g4544.t1, bc2002_g4781.t1, bc2002_g19753.t1	acastellanii_g13182.t1
OG0000294	bc2002_g6803.t1	acastellanii_g11533.t1, acastellanii_g13211.t1, acastellanii_g13211.t2, acastellanii_g13211.t3, acastellanii_g12848.t1, acastellanii_g12848.t2, acastellanii_g91.t1, acastellanii_g691.t1, acastellanii_g8541.t1
OG0000295	bc2002_g20025.t1	acastellanii_g9635.t2, acastellanii_g9635.t1, acastellanii_g12656.t1
OG0000295	bc2002_g8544.t2, bc2002_g8544.t1	acastellanii_g7266.t1
OG0000296	bc2002_g3784.t1	acastellanii_g12038.t2, acastellanii_g12038.t1, acastellanii_g3684.t1
OG0000296	bc2002_g14544.t1, bc2002_g3279.t1	acastellanii_g3166.t1
OG0000297	bc2002_g4195.t1	acastellanii_g4514.t1, acastellanii_g5985.t1, acastellanii_g2399.t1, acastellanii_g3067.t1, acastellanii_g12198.t1, acastellanii_g10995.t1, acastellanii_g1310.t2, acastellanii_g1310.t1, acastellanii_g7113.t1, acastellanii_g9739.t1
OG0000299	bc2002_g14642.t1	acastellanii_g1723.t1
OG0000299	bc2002_g12565.t1	acastellanii_g5005.t1, acastellanii_g5013.t2, acastellanii_g5013.t1
OG0000325	bc2002_g4212.t1	acastellanii_g2260.t1, acastellanii_g11861.t1
OG0000325	bc2002_g6448.t1	acastellanii_g4462.t1, acastellanii_g13666.t1, acastellanii_g10787.t1, acastellanii_g11025.t1, acastellanii_g4084.t1, acastellanii_g4076.t1
OG0000328	bc2002_g16438.t1, bc2002_g11209.t1, bc2002_g13151.t1	acastellanii_g9111.t2, acastellanii_g9111.t1
OG0000329	bc2002_g8459.t1	acastellanii_g2463.t1, acastellanii_g12079.t1, acastellanii_g6253.t1, acastellanii_g7964.t1, acastellanii_g2153.t1, acastellanii_g2870.t1, acastellanii_g3498.t1
OG0000330	bc2002_g16391.t2, bc2002_g16391.t1	acastellanii_g12110.t1, acastellanii_g3198.t1, acastellanii_g6845.t4, acastellanii_g519.t2, acastellanii_g519.t1, acastellanii_g9419.t1, acastellanii_g6845.t1, acastellanii_g6845.t3, acastellanii_g6845.t2, acastellanii_g2036.t1
OG0000331	bc2002_g5924.t2, bc2002_g5924.t1	acastellanii_g3659.t1
OG0000331	bc2002_g18909.t1	acastellanii_g11076.t1
OG0000333	bc2002_g9712.t2, bc2002_g9606.t1, bc2002_g9712.t1, bc2002_g1416.t1, bc2002_g19102.t1	acastellanii_g8728.t1
OG0000334	bc2002_g1092.t1	acastellanii_g5737.t1, acastellanii_g8557.t1, acastellanii_g3389.t1
OG0000335	bc2002_g12681.t2, bc2002_g4257.t2, bc2002_g4257.t1, bc2002_g12681.t1	acastellanii_g7999.t1
OG0000336	bc2002_g3951.t1, bc2002_g14121.t1, bc2002_g13608.t1	acastellanii_g7787.t1
OG0000356	bc2002_g10313.t1, bc2002_g10312.t1	acastellanii_g13972.t1, acastellanii_g3743.t1, acastellanii_g2322.t1, acastellanii_g12931.t1, acastellanii_g7244.t1, acastellanii_g7371.t2, acastellanii_g7371.t1, acastellanii_g7042.t1
OG0000357	bc2002_g17490.t1, bc2002_g17490.t2, bc2002_g12445.t1	acastellanii_g3289.t1, acastellanii_g13518.t1, acastellanii_g119.t1, acastellanii_g3124.t1
OG0000358	bc2002_g2355.t1, bc2002_g4994.t1, bc2002_g7966.t1	acastellanii_g10962.t1, acastellanii_g13187.t1, acastellanii_g13187.t2
OG0000359	bc2002_g3653.t1	acastellanii_g3759.t1, acastellanii_g3761.t1
OG0000359	bc2002_g11662.t1, bc2002_g11662.t2	acastellanii_g7641.t1, acastellanii_g13307.t1, acastellanii_g11328.t1, acastellanii_g5400.t1
OG0000360	bc2002_g1656.t1, bc2002_g5896.t1, bc2002_g6837.t1, bc2002_g12258.t1	acastellanii_g13402.t1
OG0000361	bc2002_g15020.t1	acastellanii_g12470.t1
OG0000361	bc2002_g7680.t1	acastellanii_g13039.t1
OG0000363	bc2002_g19094.t1	acastellanii_g11620.t5, acastellanii_g11620.t1, acastellanii_g11620.t3, acastellanii_g11620.t4, acastellanii_g11620.t2
OG0000364	bc2002_g5920.t1	acastellanii_g3719.t1
OG0000364	bc2002_g403.t1	acastellanii_g11509.t1, acastellanii_g539.t1
OG0000365	bc2002_g17469.t1, bc2002_g772.t1, bc2002_g2236.t1, bc2002_g11222.t1	acastellanii_g10426.t1, acastellanii_g11414.t2, acastellanii_g11414.t1
OG0000366	bc2002_g4922.t1, bc2002_g1777.t1, bc2002_g12056.t1, bc2002_g5796.t1, bc2002_g3564.t1	acastellanii_g1046.t1, acastellanii_g10961.t1, acastellanii_g9376.t1, acastellanii_g3120.t1, acastellanii_g5478.t1
OG0000367	bc2002_g4881.t1, bc2002_g20116.t1	acastellanii_g10499.t1, acastellanii_g9934.t1, acastellanii_g9935.t1
OG0000368	bc2002_g4277.t2, bc2002_g4277.t1, bc2002_g4238.t1, bc2002_g19300.t1	acastellanii_g9703.t1, acastellanii_g9703.t2, acastellanii_g6726.t2, acastellanii_g6726.t1
OG0000369	bc2002_g16197.t1	acastellanii_g8865.t1, acastellanii_g8869.t1, acastellanii_g8866.t1, acastellanii_g8867.t1, acastellanii_g8870.t1, acastellanii_g8875.t1
OG0000370	bc2002_g11577.t1	acastellanii_g8606.t3, acastellanii_g8606.t2, acastellanii_g8606.t1
OG0000371	bc2002_g14475.t1	acastellanii_g7584.t1, acastellanii_g2283.t1, acastellanii_g2283.t2, acastellanii_g6121.t1
OG0000372	bc2002_g18025.t1	acastellanii_g295.t3, acastellanii_g295.t1, acastellanii_g3613.t1, acastellanii_g3611.t1, acastellanii_g295.t2, acastellanii_g3612.t1
OG0000393	bc2002_g9223.t1	acastellanii_g12575.t2, acastellanii_g12575.t1
OG0000393	bc2002_g12197.t1	acastellanii_g14086.t1, acastellanii_g2476.t1
OG0000395	bc2002_g13797.t1	acastellanii_g13166.t1
OG0000396	bc2002_g10292.t2, bc2002_g10292.t1	acastellanii_g2998.t1, acastellanii_g12838.t1, acastellanii_g10992.t1, acastellanii_g8447.t1, acastellanii_g536.t1
