Geneid,Chr,Start,End,Strand,Length,mapped_to_Icas2
g1,contig_1001,617,1435,+,819,0
g2,contig_1001,1441,3237,-,1797,0
g3,contig_1001,4463,8314,+,3852,0
g4,contig_1001;contig_1001,8343;8746,8665;9283,-;-,861,0
g5,contig_1001;contig_1001,9303;10163,10023;10332,-;-,891,0
g6,contig_1001;contig_1001,10481;11674,11569;12105,+;+,1521,0
g7,contig_1001;contig_1001,12131;12796,12681;13858,-;-,1614,0
g8,contig_1001,14022,15047,+,1026,0
g9,contig_1001;contig_1001,15075;15415,15351;15806,+;+,669,0
g10,contig_1001;contig_1001;contig_1001,15843;16048;16796,15947;16539;16966,+;+;+,768,0
g11,contig_1001,17146,17721,-,576,0
g12,contig_1001,17914,19002,-,1089,0
g13,contig_1001;contig_1001,20008;20263,20141;20332,-;-,204,0
g14,contig_1001;contig_1001;contig_1001,20838;21239;22583,20900;21294;23060,-;-;-,597,5514
g15,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,23334;23518;23731;24450;25136;25377,23357;23635;24374;24493;25314;25594,+;+;+;+;+;+,1227,411
g16,contig_1001,28432,28923,+,492,0
g17,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,36792;36888;36907;36972;37273;37273;37527;37527;37887;37887,36806;36904;37141;37141;37435;37435;37804;37804;38017;38017,-;-;-;-;-;-;-;-;-;-,839,8117
g18,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,38149;38362;38520;38662;38871;39162;39413;39598;39782;39965;40217;40391;40609;40812,38291;38431;38566;38747;39027;39327;39499;39689;39848;40149;40301;40528;40704;41069,+;+;+;+;+;+;+;+;+;+;+;+;+;+,1677,8466
g19,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,41156;41417;41630;41842;42232;42500;42755;42982;43216;43552;43668;43814;44122;44263;44375;45691;45996;46197;46526;46615;46767;47082;47247;47540;47802;47988;48185;48438;48663;48906;49190;49429;49634;49825;50056;50203;50489,41313;41519;41740;42142;42397;42653;42875;43088;43317;43601;43710;43947;44189;44303;44394;45856;46092;46380;46558;46671;46913;47166;47378;47688;47917;48059;48331;48528;48818;49076;49327;49545;49738;49959;50080;50294;50699,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,4305,92866
g20,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,50920;51055;51289;51469;51624;51866;52061;52175;52392;52512;52716,50967;51161;51370;51538;51730;51988;52085;52299;52432;52622;52791,-;-;-;-;-;-;-;-;-;-;-,915,5244
