gene,KO_ID
g5631.t1,K00249
g5632.t1,K11967
g5632.t2,K11967
g5635.t1,K04682
g5636.t1,K17888
g5640.t1,K11540
g5640.t2,K11540
g5640.t3,K01835
g5642.t1,K17362
g5646.t1,K15139
g5654.t1,K05125
g5661.t1,K27391
g5667.t1,K21767
g12128.t1,K12316
g12129.t1,K05681
g12130.t1,K04615
g12130.t2,K04615
g12134.t1,K07766
g12138.t1,K04354
g12139.t1,K04798
g12140.t1,K02734
g12143.t1,K17525
g12144.t1,K10268
g12147.t1,K00382
g12148.t1,K03283
g12150.t1,K06063
g12156.t1,K01125
g12156.t2,K01125
g12157.t1,K05754
g12162.t2,K20866
g12165.t1,K14655
g12165.t2,K14655
g12169.t1,K22579
g12170.t1,K01937
g12173.t1,K03885
g12174.t1,K11494
g12179.t1,K07440
g12183.t1,K00899
g12184.t1,K01738
g12185.t1,K15528
g12191.t1,K12304
g12192.t1,K02207
g12193.t1,K09549
g12194.t1,K06062
g12196.t1,K21278
g12199.t1,K13280
g12201.t1,K02183
g12202.t1,K10356
g12211.t1,K00777
g12216.t1,K05582
g12219.t1,K01092
g12221.t1,K04733
g12221.t2,K13419
g12222.t1,K01620
g12224.t1,K20704
g12226.t1,K11124
g12226.t2,K11124
g12228.t1,K20291
g12229.t1,K17081
g12235.t1,K01539
g12236.t1,K01899
g12240.t1,K02156
g12248.t1,K00121
g12250.t1,K05901
g12258.t1,K02133
g12259.t1,K02134
g12260.t1,K02179
g12261.t1,K01273
g12262.t1,K20683
g12266.t1,K11687
g12268.t1,K00626
g12270.t1,K01900
g12271.t1,K01011
g12278.t1,K22698
g12281.t1,K00939
g12281.t2,K00939
g12285.t1,K18886
g12290.t1,K14399
g12297.t1,K12602
g12298.t1,K10876
g12299.t1,K15026
g12300.t1,K14454
g12301.t1,K06636
g12302.t1,K24741
g12302.t2,K24741
g12303.t1,K27818
g12304.t1,K11852
g12305.t1,K05917
g12307.t1,K06176
g12308.t1,K17301
g12309.t1,K25006
g12310.t1,K12627
g12311.t1,K15180
g12312.t1,K24195
g12315.t1,K19828
g12316.t1,K13103
g12318.t1,K08073
g12320.t1,K13303
g12321.t1,K02183
g12322.t1,K18758
g12323.t1,K23408
g12328.t1,K05986
g12333.t1,K05613
g12337.t1,K15074
g12337.t2,K15074
g14426.t1,K20353
g14429.t1,K28116
g14434.t1,K14018
g14439.t1,K07565
g14440.t1,K19025
g14442.t1,K07466
g14443.t1,K12345
g14445.t1,K12132
g14450.t1,K05606
g14452.t1,K14536
g14452.t2,K14536
g14457.t1,K07767
g14458.t1,K06989
g14467.t1,K13249
g14468.t1,K02148
g14470.t1,K07881
g14473.t1,K12188
g14480.t1,K17552
g14480.t2,K17552
g14481.t1,K12829
g14482.t1,K10398
g14485.t1,K00231
g14486.t1,K23344
g14488.t1,K01749
g14489.t1,K23343
g14491.t1,K11835
