Orthogroup	bc2002_braker	dicty_braker
OG0000003	bc2002_g13890.t1, bc2002_g18581.t1, bc2002_g2544.t1, bc2002_g19316.t1, bc2002_g15276.t1, bc2002_g6555.t1, bc2002_g302.t1, bc2002_g11206.t1, bc2002_g1543.t1, bc2002_g3004.t1, bc2002_g3004.t2, bc2002_g17091.t1, bc2002_g4096.t1, bc2002_g13649.t1, bc2002_g1864.t2, bc2002_g1864.t1, bc2002_g5044.t1, bc2002_g1448.t2, bc2002_g871.t1, bc2002_g3847.t1, bc2002_g3591.t1, bc2002_g19129.t2, bc2002_g19129.t1, bc2002_g19129.t3, bc2002_g580.t1, bc2002_g9747.t1, bc2002_g19973.t1, bc2002_g19574.t1, bc2002_g10623.t1, bc2002_g8703.t1, bc2002_g17361.t1, bc2002_g1552.t1, bc2002_g5957.t1, bc2002_g15040.t1, bc2002_g8145.t1, bc2002_g9837.t1, bc2002_g1934.t1, bc2002_g7337.t1, bc2002_g2293.t2, bc2002_g2293.t1, bc2002_g13098.t1, bc2002_g1764.t1, bc2002_g13702.t1, bc2002_g11092.t1, bc2002_g8183.t1, bc2002_g6268.t1, bc2002_g2503.t1	dicty_g10817.t1
OG0000012	bc2002_g11083.t1	dicty_g9325.t1
OG0000012	bc2002_g250.t1	dicty_g2256.t1
OG0000012	bc2002_g5695.t1	dicty_g9569.t1
OG0000020	bc2002_g14977.t1	dicty_g7565.t1
OG0000020	bc2002_g16498.t1, bc2002_g4567.t1, bc2002_g4567.t2, bc2002_g17819.t1	dicty_g5763.t1, dicty_g5759.t1, dicty_g5678.t1, dicty_g5732.t1, dicty_g10416.t1, dicty_g10416.t2, dicty_g8763.t2, dicty_g8763.t1, dicty_g8764.t1, dicty_g8764.t2, dicty_g7692.t1, dicty_g6065.t1, dicty_g6067.t1, dicty_g8860.t1, dicty_g8360.t1
OG0000026	bc2002_g9608.t1, bc2002_g1417.t1	dicty_g7971.t1, dicty_g3126.t1, dicty_g7970.t1, dicty_g5407.t1, dicty_g7745.t1, dicty_g5495.t1, dicty_g10878.t1, dicty_g3125.t1, dicty_g1630.t1, dicty_g10586.t1, dicty_g11290.t1, dicty_g4195.t1, dicty_g7740.t1, dicty_g5142.t1, dicty_g1845.t1, dicty_g7257.t1, dicty_g4196.t1, dicty_g3941.t1, dicty_g6141.t1, dicty_g10583.t1, dicty_g10789.t1, dicty_g5473.t1, dicty_g5116.t1, dicty_g5547.t1, dicty_g10658.t1, dicty_g7950.t1, dicty_g9127.t1, dicty_g11082.t1, dicty_g7744.t1, dicty_g8260.t1, dicty_g5496.t1, dicty_g11278.t1, dicty_g1568.t1, dicty_g8288.t1, dicty_g7746.t1, dicty_g11396.t1, dicty_g5407.t2, dicty_g9856.t1, dicty_g10791.t1, dicty_g11482.t1, dicty_g10491.t1, dicty_g3890.t1, dicty_g10586.t2, dicty_g2245.t1, dicty_g3921.t1, dicty_g8259.t1, dicty_g4513.t1, dicty_g5294.t1, dicty_g10872.t1, dicty_g5141.t1, dicty_g2200.t1, dicty_g4028.t1, dicty_g10584.t1, dicty_g1629.t1
OG0000046	bc2002_g1112.t1, bc2002_g18374.t1	dicty_g7670.t1
OG0000060	bc2002_g1450.t1, bc2002_g1377.t1, bc2002_g17988.t1, bc2002_g2248.t1, bc2002_g3594.t1, bc2002_g1745.t1, bc2002_g19754.t1, bc2002_g6172.t1, bc2002_g14110.t1, bc2002_g11680.t1, bc2002_g7251.t1, bc2002_g11780.t1, bc2002_g18871.t2, bc2002_g14458.t1, bc2002_g6830.t1, bc2002_g3602.t1, bc2002_g8923.t1, bc2002_g11169.t1, bc2002_g6116.t1, bc2002_g18761.t1	dicty_g9825.t1
OG0000062	bc2002_g12166.t1, bc2002_g16806.t1, bc2002_g5300.t1, bc2002_g8741.t1, bc2002_g2683.t1, bc2002_g12165.t1, bc2002_g5133.t1, bc2002_g17786.t1, bc2002_g9831.t1, bc2002_g11509.t1, bc2002_g16076.t1, bc2002_g8810.t1, bc2002_g6551.t1, bc2002_g3402.t1, bc2002_g5134.t1, bc2002_g10365.t1, bc2002_g17854.t1, bc2002_g5762.t1, bc2002_g7014.t1, bc2002_g14656.t1	dicty_g11149.t1
