Orthogroup	dicty_braker	acastellanii_braker
OG0000003	dicty_g10817.t1	acastellanii_g6152.t1, acastellanii_g196.t1, acastellanii_g196.t2
OG0000012	dicty_g9325.t1	acastellanii_g11603.t1
OG0000012	dicty_g7352.t1	acastellanii_g8418.t1
OG0000012	dicty_g2256.t1	acastellanii_g12458.t1, acastellanii_g13286.t1
OG0000012	dicty_g712.t1, dicty_g2304.t1, dicty_g3329.t1, dicty_g3102.t1, dicty_g2243.t1, dicty_g3232.t1, dicty_g9331.t1, dicty_g3106.t1, dicty_g9592.t1, dicty_g9672.t1, dicty_g3327.t1, dicty_g3254.t1, dicty_g3243.t1, dicty_g5834.t1, dicty_g3523.t1, dicty_g1588.t1, dicty_g9356.t1, dicty_g3105.t1, dicty_g3107.t1, dicty_g9713.t1, dicty_g9575.t1, dicty_g9576.t1, dicty_g3330.t1, dicty_g9570.t1, dicty_g9571.t1	acastellanii_g3680.t1, acastellanii_g4280.t1, acastellanii_g2679.t1
OG0000012	dicty_g9569.t1	acastellanii_g11600.t1, acastellanii_g11814.t1, acastellanii_g11722.t1, acastellanii_g2764.t1, acastellanii_g9933.t1, acastellanii_g367.t1, acastellanii_g6978.t1, acastellanii_g4373.t1, acastellanii_g7979.t1, acastellanii_g4375.t1, acastellanii_g7661.t1
OG0000020	dicty_g7565.t1	acastellanii_g2918.t1, acastellanii_g13261.t1
OG0000020	dicty_g5763.t1, dicty_g5759.t1, dicty_g5678.t1, dicty_g5732.t1, dicty_g10416.t1, dicty_g10416.t2, dicty_g8763.t2, dicty_g8763.t1, dicty_g8764.t1, dicty_g8764.t2, dicty_g7692.t1, dicty_g6065.t1, dicty_g6067.t1, dicty_g8860.t1, dicty_g8360.t1	acastellanii_g5052.t1, acastellanii_g4360.t1, acastellanii_g4022.t1, acastellanii_g4022.t2, acastellanii_g2344.t2, acastellanii_g2344.t1
OG0000062	dicty_g11149.t1	acastellanii_g5746.t1
OG0000067	dicty_g1965.t1, dicty_g9925.t1, dicty_g3617.t1, dicty_g9401.t1, dicty_g9402.t1, dicty_g2276.t1, dicty_g8418.t1, dicty_g7862.t1, dicty_g8416.t1, dicty_g8419.t1, dicty_g8280.t1, dicty_g7372.t1, dicty_g7857.t1, dicty_g9422.t1	acastellanii_g390.t3, acastellanii_g390.t1, acastellanii_g390.t4, acastellanii_g390.t2, acastellanii_g2470.t1, acastellanii_g6723.t1, acastellanii_g10513.t1, acastellanii_g1033.t1
OG0000091	dicty_g1465.t2, dicty_g1465.t1	acastellanii_g4765.t1
OG0000091	dicty_g856.t1	acastellanii_g7496.t1
OG0000091	dicty_g8023.t1	acastellanii_g1337.t1
OG0000091	dicty_g8022.t1	acastellanii_g7077.t1
OG0000091	dicty_g10286.t1	acastellanii_g9199.t1, acastellanii_g10866.t1
OG0000092	dicty_g11339.t1	acastellanii_g6066.t1, acastellanii_g3484.t1, acastellanii_g5561.t1, acastellanii_g5564.t1, acastellanii_g5559.t1
OG0000099	dicty_g6520.t1, dicty_g3445.t1	acastellanii_g5646.t1
OG0000099	dicty_g5514.t2, dicty_g5514.t1	acastellanii_g11277.t1, acastellanii_g3290.t1
OG0000099	dicty_g10909.t1	acastellanii_g13068.t1
OG0000099	dicty_g8026.t1	acastellanii_g3519.t1, acastellanii_g9224.t1, acastellanii_g3918.t1
OG0000107	dicty_g4040.t1	acastellanii_g2122.t1
OG0000107	dicty_g11216.t1	acastellanii_g6136.t1
OG0000107	dicty_g2795.t1, dicty_g2682.t1, dicty_g1527.t1, dicty_g11377.t1, dicty_g11379.t1	acastellanii_g1565.t1, acastellanii_g357.t1
OG0000117	dicty_g10771.t1, dicty_g1828.t1, dicty_g3968.t1	acastellanii_g7990.t1
OG0000117	dicty_g8230.t1	acastellanii_g14219.t1, acastellanii_g14219.t2
OG0000117	dicty_g9556.t1	acastellanii_g5067.t1
OG0000117	dicty_g2185.t1	acastellanii_g3181.t1, acastellanii_g13322.t1
OG0000123	dicty_g4060.t1	acastellanii_g9182.t1
OG0000123	dicty_g9411.t1	acastellanii_g11358.t1
OG0000123	dicty_g3610.t1	acastellanii_g13234.t1
OG0000123	dicty_g5676.t1	acastellanii_g953.t1
OG0000124	dicty_g3670.t1, dicty_g3951.t1	acastellanii_g5054.t2, acastellanii_g4361.t1, acastellanii_g5054.t1
OG0000124	dicty_g3689.t1	acastellanii_g2261.t1
OG0000124	dicty_g6094.t1	acastellanii_g11996.t2, acastellanii_g11996.t1
OG0000124	dicty_g3990.t1, dicty_g8436.t1	acastellanii_g11844.t1, acastellanii_g11844.t2
OG0000124	dicty_g908.t1	acastellanii_g5449.t2, acastellanii_g5449.t1
OG0000125	dicty_g10572.t1	acastellanii_g11868.t1
OG0000126	dicty_g9315.t1	acastellanii_g4574.t1
OG0000126	dicty_g5630.t1	acastellanii_g3820.t1, acastellanii_g3778.t1
OG0000126	dicty_g3704.t2, dicty_g3704.t1	acastellanii_g7935.t1, acastellanii_g7363.t1, acastellanii_g6883.t1, acastellanii_g6884.t1, acastellanii_g7938.t1, acastellanii_g10194.t1
OG0000127	dicty_g4918.t1, dicty_g2757.t1, dicty_g2721.t1	acastellanii_g3489.t1
OG0000147	dicty_g108.t1	acastellanii_g5769.t1, acastellanii_g5769.t2
OG0000147	dicty_g3998.t1	acastellanii_g5643.t2, acastellanii_g5643.t1
OG0000153	dicty_g3765.t1	acastellanii_g5416.t1, acastellanii_g5536.t1, acastellanii_g5536.t2, acastellanii_g788.t1, acastellanii_g776.t1, acastellanii_g3102.t1
OG0000160	dicty_g9087.t1, dicty_g8825.t1	acastellanii_g4300.t2, acastellanii_g4300.t1, acastellanii_g7628.t1
OG0000160	dicty_g6911.t1	acastellanii_g13431.t1, acastellanii_g13441.t1, acastellanii_g7627.t1, acastellanii_g5659.t1
OG0000161	dicty_g6991.t1	acastellanii_g2726.t1, acastellanii_g2740.t1
