Orthogroup	Species	vvermcdc19_braker	Orthologs
OG0000001	acastellanii_braker	vverm_g10611.t1, vverm_g2213.t2, vverm_g2213.t1, vverm_g3070.t1, vverm_g3070.t2, vverm_g1505.t3, vverm_g2611.t2, vverm_g1112.t1, vverm_g1338.t1	acastellanii_g3331.t1
OG0000001	bc2001_braker	vverm_g10611.t1	bc2001_g9852.t1
OG0000001	bc2002_braker	vverm_g10611.t1	bc2002_g11785.t1, bc2002_g11918.t1
OG0000001	bc2001_braker	vverm_g2213.t2, vverm_g2213.t1, vverm_g3070.t1, vverm_g3070.t2	bc2001_g4259.t1
OG0000001	bc2002_braker	vverm_g2213.t2, vverm_g2213.t1, vverm_g3070.t1, vverm_g3070.t2	bc2002_g5561.t1, bc2002_g2670.t1
OG0000001	bc2001_braker	vverm_g1505.t3	bc2001_g2943.t2, bc2001_g2943.t1, bc2001_g3626.t1, bc2001_g3626.t2, bc2001_g5150.t1, bc2001_g5146.t1, bc2001_g644.t1, bc2001_g15028.t1, bc2001_g6151.t1, bc2001_g3294.t1, bc2001_g6476.t1, bc2001_g11238.t1, bc2001_g13252.t1, bc2001_g9420.t1, bc2001_g7492.t1, bc2001_g5789.t2, bc2001_g5789.t1, bc2001_g18980.t1, bc2001_g19407.t1, bc2001_g19407.t2, bc2001_g1700.t1, bc2001_g5670.t1, bc2001_g5992.t1, bc2001_g11028.t1, bc2001_g17654.t1, bc2001_g17737.t1, bc2001_g10597.t1, bc2001_g6026.t2, bc2001_g16346.t1, bc2001_g13068.t1, bc2001_g5100.t1, bc2001_g4973.t1, bc2001_g10657.t1, bc2001_g10569.t1, bc2001_g4958.t1, bc2001_g9238.t1, bc2001_g10134.t2, bc2001_g8326.t1, bc2001_g1908.t1, bc2001_g8837.t1, bc2001_g8522.t1
OG0000001	bc2002_braker	vverm_g1505.t3	bc2002_g11595.t1, bc2002_g6140.t1, bc2002_g3485.t1, bc2002_g3488.t1, bc2002_g1689.t1, bc2002_g19066.t1, bc2002_g12895.t1, bc2002_g12893.t1, bc2002_g10627.t1, bc2002_g8015.t1, bc2002_g13344.t1, bc2002_g2326.t1, bc2002_g13931.t1, bc2002_g963.t1, bc2002_g5669.t1, bc2002_g5669.t2, bc2002_g2810.t1, bc2002_g3176.t1, bc2002_g12205.t1, bc2002_g14236.t1, bc2002_g5250.t1, bc2002_g595.t1, bc2002_g512.t1, bc2002_g15159.t1, bc2002_g14201.t1, bc2002_g8611.t1, bc2002_g16336.t1, bc2002_g19797.t1, bc2002_g19669.t1, bc2002_g15089.t1, bc2002_g728.t1, bc2002_g19654.t1, bc2002_g18431.t1, bc2002_g140.t1, bc2002_g7349.t1, bc2002_g9111.t1, bc2002_g2596.t1
OG0000001	bc2001_braker	vverm_g2611.t2	bc2001_g543.t2, bc2001_g5675.t1, bc2001_g19682.t1, bc2001_g19682.t2, bc2001_g19539.t1, bc2001_g19539.t2, bc2001_g10665.t1, bc2001_g628.t1, bc2001_g12086.t1, bc2001_g1096.t1, bc2001_g1096.t2, bc2001_g15504.t1, bc2001_g12826.t2, bc2001_g12826.t1, bc2001_g12460.t1, bc2001_g12479.t1, bc2001_g4441.t1, bc2001_g19584.t1, bc2001_g19617.t1, bc2001_g12197.t1, bc2001_g17070.t1, bc2001_g9555.t1, bc2001_g141.t1, bc2001_g10586.t2, bc2001_g10586.t1, bc2001_g6449.t2, bc2001_g6449.t1, bc2001_g18888.t1, bc2001_g16260.t1, bc2001_g11904.t1, bc2001_g1806.t1, bc2001_g13305.t1, bc2001_g4485.t2, bc2001_g4485.t1, bc2001_g3989.t1, bc2001_g12744.t1, bc2001_g7657.t1, bc2001_g17710.t1, bc2001_g12373.t1, bc2001_g687.t1
OG0000001	bc2002_braker	vverm_g2611.t2	bc2002_g16527.t2, bc2002_g7589.t1, bc2002_g16668.t1, bc2002_g1987.t1, bc2002_g15077.t1, bc2002_g1674.t1, bc2002_g1674.t2, bc2002_g12283.t1, bc2002_g4232.t1, bc2002_g17766.t1, bc2002_g2963.t1, bc2002_g10169.t1, bc2002_g10151.t1, bc2002_g12170.t1, bc2002_g2038.t1, bc2002_g2072.t1, bc2002_g18599.t1, bc2002_g7984.t1, bc2002_g9820.t1, bc2002_g8747.t1, bc2002_g714.t1, bc2002_g714.t2, bc2002_g10600.t1, bc2002_g4524.t1, bc2002_g8530.t1, bc2002_g13159.t1, bc2002_g5573.t1, bc2002_g3991.t1, bc2002_g15370.t1, bc2002_g10426.t1, bc2002_g1392.t1, bc2002_g15327.t1, bc2002_g14111.t1, bc2002_g537.t1, bc2002_g4035.t1
OG0000001	bc2002_braker	vverm_g1112.t1, vverm_g1338.t1	bc2002_g13963.t1, bc2002_g15282.t1
