# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-t" "gene" "-g" "Geneid" "-F" "GTF" "-a" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/featurecounts/bc2001_braker.gtf" "-o" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/featurecounts/bc2001_bin7_mapped.txt" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_001_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_002_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_003_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_004_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_005_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_006_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_007_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_008_mapped.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_001_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_002_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_003_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_004_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_005_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_006_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_007_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_008_mapped.bam
g1	contig_1001	617	1435	+	819	0	7	0	0	0	1	0	0
g2	contig_1001	1441	3237	-	1797	0	0	0	0	0	0	0	0
g3	contig_1001	4463	8314	+	3852	0	0	0	0	0	0	0	0
g4	contig_1001	8343	9283	-	941	0	0	0	0	0	0	0	0
g5	contig_1001	9303	10332	-	1030	0	0	0	0	0	0	0	0
g6	contig_1001	10481	12105	+	1625	0	0	0	0	0	0	0	0
g7	contig_1001	12131	13858	-	1728	0	0	0	0	0	0	0	0
g8	contig_1001	14022	15047	+	1026	0	0	0	0	0	0	0	0
g9	contig_1001	15075	15806	+	732	0	0	0	0	0	0	0	0
g10	contig_1001	15843	16966	+	1124	0	1	0	0	0	0	2	5
g11	contig_1001	17146	17721	-	576	0	0	0	1	0	0	0	0
g12	contig_1001	17914	19002	-	1089	0	2	2	0	0	0	0	1
g13	contig_1001	20008	20332	-	325	0	0	0	0	6	0	0	2
g14	contig_1001	20838	23060	-	2223	1405	1883	730	1219	857	1102	837	1149
g15	contig_1001	23334	25594	+	2261	51	78	36	36	36	15	31	39
g16	contig_1001	28432	28923	+	492	0	0	0	0	0	0	0	0
g17	contig_1001	36792	38017	-	1226	1067	1385	806	1320	1154	1074	928	1057
g18	contig_1001	38149	41069	+	2921	2492	3643	2268	3614	3422	2821	2738	3932
g19	contig_1001	41156	50699	-	9544	11998	13806	11764	15121	16538	12943	12792	15301
g20	contig_1001	50920	52791	-	1872	989	1247	991	1268	1665	1053	1348	1230
g21	contig_1001	52979	58390	-	5412	5265	10898	4622	10234	6723	10338	5970	10330
g22	contig_1001	58642	63467	+	4826	3146	7095	2716	7112	3773	5865	3228	7022
g23	contig_1001	63535	67199	-	3665	2207	3212	1614	3059	1918	2879	2090	2954
g24	contig_1001	67579	70879	+	3301	956	1563	624	1373	1023	1269	1027	1320
g25	contig_1001	71052	74947	-	3896	5073	6581	3992	6812	5576	5891	4838	6239
g26	contig_1001	75335	80097	-	4763	2566	5576	2095	5479	3507	5472	2849	5782
g27	contig_1001	80241	83644	+	3404	3827	3394	3438	3751	4683	2956	3784	3456
g28	contig_1001	83824	85512	+	1689	912	2292	1152	2243	1310	1930	1088	2617
g29	contig_1001	85631	87355	-	1725	831	1098	800	948	1118	792	856	977
g30	contig_1001	87629	88012	+	384	1207	344	1355	395	2516	394	1927	627
g31	contig_1001	88140	89729	+	1590	888	953	958	1310	1484	1084	1266	1199
g32	contig_1001	90466	91439	+	974	2034	1760	1417	1620	1737	1208	1617	1275
g33	contig_1001	91496	92612	-	1117	154	412	140	387	209	314	168	508
g34	contig_1001	92675	93434	+	760	286	688	230	890	424	839	400	872
g35	contig_1001	95343	96335	+	993	0	0	0	0	0	0	0	0
g36	contig_1001	96341	97159	-	819	0	0	0	1	0	0	0	0
g37	contig_1001	99726	101111	-	1386	1	7	1	0	2	6	0	1
g38	contig_1001	101841	102353	-	513	0	0	0	0	0	0	0	0
g39	contig_1001	102629	104712	+	2084	0	2	0	0	0	0	0	5
g40	contig_1001	104784	107105	-	2322	0	4	0	3	0	0	0	2
g41	contig_1001	107852	114620	+	6769	6294	9936	5944	11022	7602	9320	6391	10970
g42	contig_1001	114862	117110	+	2249	709	571	599	479	1341	339	1049	576
g43	contig_1001	117235	119188	-	1954	667	2036	664	2204	1058	1809	748	2178
g44	contig_1001	119259	122058	+	2800	6165	8503	5869	8800	6586	7265	5388	8747
g45	contig_1001	122119	123610	+	1492	522	673	532	672	969	651	843	729
g46	contig_1001	123652	130105	-	6454	2599	3463	2037	3335	3354	3460	2634	3415
g47	contig_1001	130260	131189	-	930	8023	5424	8228	6111	11228	6429	9485	6081
g48	contig_1001	131468	133544	+	2077	3360	2218	4059	2337	4432	2456	3963	2734
g49	contig_1001	133700	137388	-	3689	2070	3541	1687	3232	2168	2799	1887	3362
g50	contig_1001	137489	142967	-	5479	2181	3776	1798	3468	2211	2907	1875	3503
g51	contig_1001	143056	145755	+	2700	770	1272	712	1299	981	1291	695	1309
g52	contig_1001	145760	147882	-	2123	675	907	548	894	672	635	518	806
g53	contig_1001	147981	149302	+	1322	1873	2074	1396	1863	2186	1858	1969	1896
g54	contig_1001	149483	152127	+	2645	22204	19129	23149	20664	23173	16350	18957	21315
g55	contig_1001	152436	153059	-	624	7123	8125	8573	9476	12717	7453	8013	9708
g56	contig_1001	153220	157356	+	4137	1110	2706	672	2375	922	1882	831	2110
g57	contig_1001	157503	159910	-	2408	1561	1567	1050	1160	1161	1080	1140	1161
g58	contig_1001	160081	162065	+	1985	9337	6739	7141	5773	9582	4604	9169	5466
g59	contig_1001	162568	163984	+	1417	1058	812	810	847	1108	708	988	894
g60	contig_1001	164108	172239	+	8132	5372	15357	4576	14544	6202	14279	5456	14324
g61	contig_1001	172685	174000	-	1316	50992	37664	48643	46574	46120	33875	38400	49094
g62	contig_1001	174425	175266	+	842	884	1238	978	1308	1477	1083	1276	1105
g63	contig_1001	175481	177975	+	2495	13647	8905	16512	10920	26751	9271	23006	11657
g64	contig_1001	178186	182536	-	4351	8534	8693	7552	8221	8220	6797	6766	8186
g65	contig_1001	182719	189500	-	6782	17626	17788	13900	15526	15278	14363	16266	15410
g66	contig_1001	189668	192442	-	2775	3070	3273	3028	3090	3487	2690	2680	3146
g67	contig_1001	192936	196696	+	3761	3459	5181	2512	4643	3416	4291	2931	4430
g68	contig_1001	196839	198433	-	1595	1412	1524	1166	1490	1570	1279	1345	1412
g69	contig_1001	198731	203667	+	4937	4606	3578	4153	3932	4687	2643	4096	3097
g70	contig_1001	204058	207127	-	3070	2352	3459	2285	3550	3102	3320	2341	3756
g71	contig_1001	207271	209069	+	1799	3841	2368	3050	2525	3347	1924	3021	2257
g72	contig_1001	209461	211792	-	2332	772	1152	759	1229	927	1064	758	1125
g73	contig_1001	212305	212664	+	360	3186	2811	3522	3394	4943	2646	4428	3382
g74	contig_1001	212812	217901	-	5090	1765	3147	1312	2803	1747	2534	1447	2932
g75	contig_1001	217940	221914	+	3975	1276	2631	1078	2447	1504	2021	1241	2153
g76	contig_1001	221959	229453	-	7495	3098	7761	2218	7474	3047	6848	2642	6563
g77	contig_1001	229684	232564	+	2881	889	1409	904	1377	1192	1022	898	1212
g78	contig_1001	232718	236355	-	3638	3591	4216	3235	4885	5138	3934	4297	4854
g79	contig_1001	236963	240004	-	3042	5	11	1	13	18	10	11	14
g80	contig_1001	242076	243093	-	1018	3	4	6	3	0	2	9	7
g81	contig_1001	243785	246621	+	2837	8314	6610	8931	8263	10510	7296	8545	8591
g82	contig_1001	246863	247988	+	1126	157	354	175	359	185	282	158	351
g83	contig_1001	248096	251824	-	3729	806	891	707	732	958	525	715	644
g84	contig_1001	251967	252453	+	487	166	496	145	397	143	293	188	373
g85	contig_1001	252575	253565	-	991	2726	2272	2849	2994	4592	2903	3774	3059
g86	contig_1001	253725	254117	-	393	504	1059	451	1162	822	1049	855	1129
