Orthogroup	dicty_braker	vvermcdc19_braker
OG0000003	dicty_g10817.t1	vverm_g15420.t1, vverm_g1517.t1, vverm_g14595.t2
OG0000012	dicty_g9325.t1	vverm_g12773.t1
OG0000012	dicty_g7352.t1	vverm_g6937.t1, vverm_g16860.t1
OG0000012	dicty_g2256.t1	vverm_g928.t1
OG0000012	dicty_g712.t1, dicty_g2304.t1, dicty_g3329.t1, dicty_g3102.t1, dicty_g2243.t1, dicty_g3232.t1, dicty_g9331.t1, dicty_g3106.t1, dicty_g9592.t1, dicty_g9672.t1, dicty_g3327.t1, dicty_g3254.t1, dicty_g3243.t1, dicty_g5834.t1, dicty_g3523.t1, dicty_g1588.t1, dicty_g9356.t1, dicty_g3105.t1, dicty_g3107.t1, dicty_g9713.t1, dicty_g9575.t1, dicty_g9576.t1, dicty_g3330.t1, dicty_g9570.t1, dicty_g9571.t1, dicty_g9569.t1	vverm_g4446.t1, vverm_g8258.t1
OG0000019	dicty_g6325.t1	vverm_g9412.t1, vverm_g9391.t1, vverm_g6437.t1, vverm_g839.t1, vverm_g7913.t1, vverm_g2826.t1, vverm_g13924.t1, vverm_g6439.t2, vverm_g6439.t1, vverm_g6264.t1, vverm_g6441.t1, vverm_g6445.t1, vverm_g6444.t1, vverm_g6443.t1, vverm_g7507.t1, vverm_g7508.t1, vverm_g4333.t1, vverm_g11739.t1, vverm_g13905.t1, vverm_g2126.t2, vverm_g2126.t1, vverm_g4212.t1, vverm_g3553.t1, vverm_g2100.t2, vverm_g14411.t1, vverm_g2100.t1, vverm_g14411.t2, vverm_g3552.t1, vverm_g14368.t1, vverm_g14367.t1, vverm_g9215.t1, vverm_g10961.t1, vverm_g10961.t2, vverm_g9230.t1, vverm_g6964.t2, vverm_g6964.t1, vverm_g16306.t1, vverm_g9211.t1, vverm_g9214.t1, vverm_g9213.t1, vverm_g10955.t1, vverm_g6475.t1, vverm_g14369.t1, vverm_g10664.t2, vverm_g10664.t1, vverm_g2129.t1, vverm_g2129.t2, vverm_g6434.t2, vverm_g6434.t1, vverm_g6434.t3, vverm_g6436.t1, vverm_g6433.t1, vverm_g5498.t1, vverm_g6473.t1, vverm_g9428.t1, vverm_g9443.t1, vverm_g8425.t1, vverm_g8425.t2, vverm_g8423.t1, vverm_g8424.t1, vverm_g8520.t1, vverm_g16445.t1, vverm_g2822.t1, vverm_g2821.t1, vverm_g4588.t1, vverm_g11732.t1, vverm_g11733.t1, vverm_g11738.t1, vverm_g11738.t2, vverm_g11737.t1, vverm_g11356.t1, vverm_g16448.t1
OG0000020	dicty_g7565.t1	vverm_g252.t1, vverm_g15641.t2, vverm_g15641.t1
OG0000020	dicty_g5763.t1, dicty_g5759.t1, dicty_g5678.t1, dicty_g5732.t1, dicty_g10416.t1, dicty_g10416.t2, dicty_g8763.t2, dicty_g8763.t1, dicty_g8764.t1, dicty_g8764.t2, dicty_g7692.t1, dicty_g6065.t1, dicty_g6067.t1, dicty_g8860.t1, dicty_g8360.t1	vverm_g243.t1, vverm_g243.t2, vverm_g4971.t1, vverm_g4971.t2, vverm_g13305.t1, vverm_g7402.t1, vverm_g8539.t2, vverm_g8539.t1, vverm_g7537.t2, vverm_g7537.t1, vverm_g7536.t1, vverm_g8426.t1, vverm_g8428.t1, vverm_g8478.t2, vverm_g8478.t1, vverm_g4668.t2, vverm_g4668.t1, vverm_g7560.t2, vverm_g10152.t2, vverm_g10152.t1, vverm_g8601.t2, vverm_g8602.t1, vverm_g8601.t1, vverm_g10381.t1, vverm_g4482.t1, vverm_g4482.t2, vverm_g12809.t2, vverm_g2815.t1, vverm_g12343.t2, vverm_g12343.t1
OG0000026	dicty_g7971.t1, dicty_g3126.t1, dicty_g7970.t1, dicty_g5407.t1, dicty_g7745.t1, dicty_g5495.t1, dicty_g10878.t1, dicty_g3125.t1, dicty_g1630.t1, dicty_g10586.t1, dicty_g11290.t1, dicty_g4195.t1, dicty_g7740.t1, dicty_g5142.t1, dicty_g1845.t1, dicty_g7257.t1, dicty_g4196.t1, dicty_g3941.t1, dicty_g6141.t1, dicty_g10583.t1, dicty_g10789.t1, dicty_g5473.t1, dicty_g5116.t1, dicty_g5547.t1, dicty_g10658.t1, dicty_g7950.t1, dicty_g9127.t1, dicty_g11082.t1, dicty_g7744.t1, dicty_g8260.t1, dicty_g5496.t1, dicty_g11278.t1, dicty_g1568.t1, dicty_g8288.t1, dicty_g7746.t1, dicty_g11396.t1, dicty_g5407.t2, dicty_g9856.t1, dicty_g10791.t1, dicty_g11482.t1, dicty_g10491.t1, dicty_g3890.t1, dicty_g10586.t2, dicty_g2245.t1, dicty_g3921.t1, dicty_g8259.t1, dicty_g4513.t1, dicty_g5294.t1, dicty_g10872.t1, dicty_g5141.t1, dicty_g2200.t1, dicty_g4028.t1, dicty_g10584.t1, dicty_g1629.t1	vverm_g7254.t1
OG0000046	dicty_g7670.t1	vverm_g10679.t1
OG0000062	dicty_g11149.t1	vverm_g2738.t1, vverm_g1421.t1, vverm_g4396.t1
OG0000067	dicty_g1965.t1, dicty_g9925.t1, dicty_g3617.t1, dicty_g9401.t1, dicty_g9402.t1, dicty_g2276.t1, dicty_g8418.t1, dicty_g7862.t1, dicty_g8416.t1, dicty_g8419.t1, dicty_g8280.t1, dicty_g7372.t1, dicty_g7857.t1, dicty_g9422.t1	vverm_g14954.t1, vverm_g11932.t1, vverm_g772.t1, vverm_g4256.t1, vverm_g8088.t1, vverm_g14889.t1, vverm_g14888.t1, vverm_g847.t1, vverm_g6460.t1, vverm_g4253.t1, vverm_g5590.t1, vverm_g4427.t1, vverm_g4366.t1, vverm_g4367.t1, vverm_g10240.t1, vverm_g10026.t1, vverm_g1776.t1, vverm_g5006.t1, vverm_g12506.t1, vverm_g13142.t1
OG0000091	dicty_g1465.t2, dicty_g1465.t1	vverm_g15865.t1
OG0000091	dicty_g856.t1	vverm_g8989.t1
OG0000091	dicty_g7703.t1	vverm_g16310.t1
OG0000091	dicty_g8023.t1	vverm_g9098.t3, vverm_g9098.t1
OG0000091	dicty_g8022.t1	vverm_g2854.t1
OG0000091	dicty_g10286.t1	vverm_g7378.t1
OG0000092	dicty_g11339.t1	vverm_g1076.t1, vverm_g5346.t1, vverm_g9523.t2, vverm_g15902.t1, vverm_g9523.t1, vverm_g15903.t2, vverm_g15903.t1, vverm_g12847.t1, vverm_g2917.t1, vverm_g2962.t1, vverm_g2961.t1, vverm_g9713.t2, vverm_g9713.t1, vverm_g2684.t2, vverm_g2684.t1, vverm_g1682.t1, vverm_g8296.t1, vverm_g8297.t1, vverm_g5652.t1
OG0000099	dicty_g1916.t1	vverm_g8058.t1, vverm_g5879.t1, vverm_g14058.t1, vverm_g15256.t1, vverm_g5312.t1, vverm_g5312.t2
OG0000099	dicty_g6520.t1, dicty_g3445.t1	vverm_g4829.t1, vverm_g1960.t1, vverm_g1960.t2
OG0000099	dicty_g5514.t2, dicty_g5514.t1	vverm_g11651.t1
OG0000099	dicty_g8026.t1	vverm_g13257.t1, vverm_g743.t1
OG0000107	dicty_g4040.t1	vverm_g5782.t1, vverm_g719.t2, vverm_g719.t1
OG0000107	dicty_g11216.t1	vverm_g10341.t1
OG0000107	dicty_g2795.t1, dicty_g2682.t1, dicty_g1527.t1, dicty_g11377.t1, dicty_g11379.t1	vverm_g5786.t1, vverm_g11396.t1, vverm_g9567.t1, vverm_g12148.t1
OG0000108	dicty_g10649.t1, dicty_g2006.t1	vverm_g278.t1
OG0000108	dicty_g5102.t1	vverm_g5031.t1
OG0000108	dicty_g3481.t1, dicty_g4412.t2, dicty_g7594.t1, dicty_g1118.t1, dicty_g2547.t2, dicty_g2928.t1, dicty_g2547.t1, dicty_g2548.t1, dicty_g2927.t1, dicty_g2549.t1, dicty_g7422.t1, dicty_g6515.t1, dicty_g7152.t1, dicty_g1803.t1, dicty_g7150.t1, dicty_g7466.t1, dicty_g10967.t1, dicty_g10968.t1	vverm_g4633.t1, vverm_g12081.t1, vverm_g16106.t1
OG0000117	dicty_g10771.t1, dicty_g1828.t1, dicty_g3968.t1	vverm_g4696.t2
OG0000117	dicty_g8230.t1	vverm_g14778.t1, vverm_g14778.t2
OG0000117	dicty_g9556.t1, dicty_g2185.t1	vverm_g4821.t1
OG0000123	dicty_g4060.t1	vverm_g12202.t1
OG0000123	dicty_g9411.t1	vverm_g16856.t1
OG0000123	dicty_g3073.t1	vverm_g1771.t1, vverm_g7932.t1
OG0000123	dicty_g3610.t1	vverm_g5951.t1
OG0000123	dicty_g5676.t1	vverm_g8984.t1
OG0000124	dicty_g3990.t1, dicty_g8436.t1	vverm_g2721.t1
OG0000124	dicty_g908.t1	vverm_g6287.t1
OG0000125	dicty_g10572.t1	vverm_g1812.t1, vverm_g15122.t1, vverm_g12340.t1, vverm_g11318.t1, vverm_g2082.t1, vverm_g2082.t2, vverm_g11770.t1, vverm_g11770.t3, vverm_g13104.t2
OG0000125	dicty_g9927.t2, dicty_g9927.t1	vverm_g5676.t1, vverm_g7439.t1, vverm_g5742.t2, vverm_g5742.t1, vverm_g13104.t1, vverm_g12812.t1, vverm_g5672.t1, vverm_g5672.t2, vverm_g7435.t1, vverm_g5675.t1, vverm_g7438.t1
OG0000126	dicty_g9315.t1	vverm_g3450.t1
OG0000126	dicty_g5630.t1	vverm_g6700.t1, vverm_g7198.t1, vverm_g7155.t1, vverm_g11110.t1, vverm_g7338.t1, vverm_g4322.t1
