Orthogroup	acastellanii_braker	bc2001_braker	bc2002_braker	dicty_braker	vvermcdc19_braker
OG0019224	acastellanii_g14248.t1				
OG0019225	acastellanii_g14251.t1				
OG0019226	acastellanii_g14252.t1				
OG0019227	acastellanii_g14216.t1				
OG0019228	acastellanii_g14217.t1				
OG0019229	acastellanii_g14220.t1				
OG0019230	acastellanii_g14221.t1				
OG0019231	acastellanii_g14224.t1				
OG0019232	acastellanii_g14228.t1				
OG0019233	acastellanii_g14231.t1				
OG0019234	acastellanii_g14234.t1				
OG0019235	acastellanii_g14193.t1				
OG0019236	acastellanii_g14195.t1				
OG0019237	acastellanii_g14181.t1				
OG0019238	acastellanii_g14172.t1				
OG0019239	acastellanii_g14174.t1				
OG0019240	acastellanii_g14146.t1				
OG0019241	acastellanii_g14147.t1				
OG0019242	acastellanii_g14164.t1				
OG0019243	acastellanii_g14168.t1				
OG0019244	acastellanii_g14170.t1				
OG0019245	acastellanii_g14126.t1				
OG0019246	acastellanii_g14131.t1				
OG0019247	acastellanii_g14134.t1				
OG0019248	acastellanii_g14142.t1				
OG0019249	acastellanii_g14123.t1				
OG0019250	acastellanii_g14117.t1				
OG0019251	acastellanii_g14108.t1				
OG0019252	acastellanii_g14113.t1				
OG0019253	acastellanii_g14114.t1				
OG0019254	acastellanii_g14092.t1				
OG0019255	acastellanii_g14093.t1				
OG0019256	acastellanii_g13555.t1				
OG0019257	acastellanii_g13556.t1				
OG0019258	acastellanii_g13570.t1				
OG0019259	acastellanii_g13574.t1				
OG0019260	acastellanii_g13575.t1				
OG0019261	acastellanii_g13576.t1				
OG0019262	acastellanii_g13579.t1				
OG0019263	acastellanii_g13584.t1				
OG0019264	acastellanii_g13588.t1				
OG0019265	acastellanii_g13589.t1				
OG0019266	acastellanii_g13601.t1				
OG0019267	acastellanii_g13604.t1				
OG0019268	acastellanii_g13607.t1				
OG0019269	acastellanii_g13608.t1				
OG0019270	acastellanii_g13612.t1				
OG0019271	acastellanii_g13613.t1				
OG0019272	acastellanii_g13618.t1				
OG0019273	acastellanii_g13627.t1				
OG0019274	acastellanii_g13637.t1				
OG0019275	acastellanii_g13640.t1				
OG0019276	acastellanii_g13643.t1				
OG0019277	acastellanii_g13645.t1				
OG0019278	acastellanii_g13656.t1				
OG0019279	acastellanii_g13657.t1				
OG0019280	acastellanii_g13658.t1				
OG0019281	acastellanii_g13660.t1				
OG0019282	acastellanii_g13668.t1				
OG0019283	acastellanii_g13685.t1				
OG0019284	acastellanii_g13688.t1				
OG0019285	acastellanii_g13691.t1				
OG0019286	acastellanii_g13692.t1				
OG0019287	acastellanii_g13698.t1				
OG0019288	acastellanii_g13700.t1				
OG0019289	acastellanii_g13706.t1				
OG0019290	acastellanii_g13707.t1				
OG0019291	acastellanii_g13708.t1				
OG0019292	acastellanii_g13711.t1				
OG0019293	acastellanii_g13712.t1				
OG0019294	acastellanii_g13713.t1				
OG0019295	acastellanii_g13715.t1				
OG0019296	acastellanii_g13716.t1				
OG0019297	acastellanii_g13721.t1				
OG0019298	acastellanii_g13729.t1				
OG0019299	acastellanii_g13735.t1				
OG0019300	acastellanii_g13737.t1				
OG0019301	acastellanii_g13738.t1				
OG0019302	acastellanii_g13740.t1				
OG0019303	acastellanii_g13743.t1				
OG0019304	acastellanii_g13745.t1				
OG0019305	acastellanii_g13754.t1				
OG0019306	acastellanii_g13762.t1				
OG0019307	acastellanii_g13766.t1				
OG0019308	acastellanii_g13772.t1				
OG0019309	acastellanii_g13777.t1				
OG0019310	acastellanii_g13784.t1				
OG0019311	acastellanii_g13785.t1				
OG0019312	acastellanii_g13789.t1				
OG0019313	acastellanii_g13792.t1				
OG0019314	acastellanii_g13793.t1				
OG0019315	acastellanii_g13795.t1				
OG0019316	acastellanii_g13796.t1				
OG0019317	acastellanii_g13803.t1				
OG0019318	acastellanii_g13804.t1				
OG0019319	acastellanii_g13806.t1				
