Genome,Total length,% GC,Busco complete,Busco contam,# Contigs
Incendiamoeba cascadensis 1,48469260,35.8,83.5,3.9,193
Incendiamoeba cascadensis 2,48180268,35.8,82.7,3.5,144
Vermamoeba vermormis CDC 19,43346882,41.9,87.5,5.1,310
Vermamoeba vermiformis GCA_020696425.1,39525480,42.5,88.6,2.7,150
Acanthamoeba terricola Neff,42019824,58.4,78.0,2.0,3192
Dictyostelium discoideum,34204973,22.4,90.6,4.3,261
