Orthogroup	acastellanii_braker	bc2002_braker
OG0000001	acastellanii_g3331.t1	bc2002_g11785.t1, bc2002_g11918.t1, bc2002_g18328.t1, bc2002_g18358.t1, bc2002_g5561.t1, bc2002_g2670.t1, bc2002_g11595.t1, bc2002_g6140.t1, bc2002_g3485.t1, bc2002_g3488.t1, bc2002_g1689.t1, bc2002_g19066.t1, bc2002_g12895.t1, bc2002_g12893.t1, bc2002_g10627.t1, bc2002_g8015.t1, bc2002_g13344.t1, bc2002_g2326.t1, bc2002_g13931.t1, bc2002_g963.t1, bc2002_g5669.t1, bc2002_g5669.t2, bc2002_g2810.t1, bc2002_g3176.t1, bc2002_g12205.t1, bc2002_g14236.t1, bc2002_g5250.t1, bc2002_g595.t1, bc2002_g512.t1, bc2002_g15159.t1, bc2002_g14201.t1, bc2002_g8611.t1, bc2002_g16336.t1, bc2002_g19797.t1, bc2002_g19669.t1, bc2002_g15089.t1, bc2002_g728.t1, bc2002_g19654.t1, bc2002_g18431.t1, bc2002_g140.t1, bc2002_g7349.t1, bc2002_g9111.t1, bc2002_g2596.t1, bc2002_g16527.t2, bc2002_g7589.t1, bc2002_g16668.t1, bc2002_g1987.t1, bc2002_g15077.t1, bc2002_g1674.t1, bc2002_g1674.t2, bc2002_g12283.t1, bc2002_g4232.t1, bc2002_g17766.t1, bc2002_g2963.t1, bc2002_g10169.t1, bc2002_g10151.t1, bc2002_g12170.t1, bc2002_g2038.t1, bc2002_g2072.t1, bc2002_g18599.t1, bc2002_g7984.t1, bc2002_g9820.t1, bc2002_g8747.t1, bc2002_g714.t1, bc2002_g714.t2, bc2002_g10600.t1, bc2002_g4524.t1, bc2002_g8530.t1, bc2002_g13159.t1, bc2002_g5573.t1, bc2002_g3991.t1, bc2002_g15370.t1, bc2002_g10426.t1, bc2002_g1392.t1, bc2002_g15327.t1, bc2002_g14111.t1, bc2002_g537.t1, bc2002_g4035.t1, bc2002_g13963.t1, bc2002_g15282.t1
OG0000003	acastellanii_g6152.t1	bc2002_g13890.t1
OG0000008	acastellanii_g7762.t1	bc2002_g1441.t1, bc2002_g13844.t1, bc2002_g14848.t1, bc2002_g5903.t1, bc2002_g235.t1, bc2002_g9920.t1, bc2002_g11752.t1, bc2002_g14948.t1, bc2002_g10851.t1, bc2002_g13796.t1, bc2002_g16216.t1, bc2002_g2290.t1, bc2002_g16915.t1, bc2002_g10565.t1, bc2002_g15808.t1, bc2002_g7238.t1, bc2002_g7228.t1, bc2002_g5900.t1, bc2002_g7233.t1, bc2002_g1119.t1, bc2002_g182.t1, bc2002_g9327.t1, bc2002_g205.t1, bc2002_g11889.t1, bc2002_g15375.t1, bc2002_g9253.t1, bc2002_g2118.t1
OG0000012	acastellanii_g11603.t1	bc2002_g11083.t1
OG0000012	acastellanii_g12458.t1, acastellanii_g13286.t1	bc2002_g250.t1
OG0000012	acastellanii_g11600.t1, acastellanii_g11814.t1, acastellanii_g11722.t1, acastellanii_g2764.t1, acastellanii_g9933.t1, acastellanii_g367.t1, acastellanii_g6978.t1, acastellanii_g4373.t1, acastellanii_g7979.t1, acastellanii_g4375.t1, acastellanii_g7661.t1	bc2002_g5695.t1
OG0000020	acastellanii_g2918.t1, acastellanii_g13261.t1	bc2002_g14977.t1
OG0000020	acastellanii_g5052.t1, acastellanii_g4360.t1, acastellanii_g4022.t1, acastellanii_g4022.t2, acastellanii_g2344.t2, acastellanii_g2344.t1	bc2002_g16498.t1, bc2002_g4567.t1, bc2002_g4567.t2, bc2002_g17819.t1
OG0000043	acastellanii_g5071.t1	bc2002_g10861.t1, bc2002_g6607.t1, bc2002_g16259.t1, bc2002_g20034.t1, bc2002_g7775.t1, bc2002_g17732.t1, bc2002_g5077.t1, bc2002_g9114.t1, bc2002_g11284.t1, bc2002_g2760.t1, bc2002_g13042.t1, bc2002_g14824.t1, bc2002_g19322.t1, bc2002_g1611.t1, bc2002_g13953.t1, bc2002_g8979.t1, bc2002_g19705.t1, bc2002_g19820.t1, bc2002_g3048.t1, bc2002_g10598.t1, bc2002_g15422.t1, bc2002_g2852.t1
OG0000062	acastellanii_g5746.t1	bc2002_g12166.t1, bc2002_g16806.t1, bc2002_g5300.t1, bc2002_g8741.t1, bc2002_g2683.t1, bc2002_g12165.t1, bc2002_g5133.t1, bc2002_g17786.t1, bc2002_g9831.t1, bc2002_g11509.t1, bc2002_g16076.t1, bc2002_g8810.t1, bc2002_g6551.t1, bc2002_g3402.t1, bc2002_g5134.t1, bc2002_g10365.t1, bc2002_g17854.t1, bc2002_g5762.t1, bc2002_g7014.t1, bc2002_g14656.t1
OG0000082	acastellanii_g4310.t1	bc2002_g7244.t1, bc2002_g1226.t1, bc2002_g9378.t1, bc2002_g3801.t1, bc2002_g2879.t1, bc2002_g424.t1, bc2002_g9259.t1, bc2002_g1236.t1, bc2002_g7241.t1, bc2002_g18656.t1, bc2002_g18657.t1, bc2002_g18302.t1, bc2002_g460.t1, bc2002_g12093.t1, bc2002_g13662.t1, bc2002_g15799.t1, bc2002_g4179.t1, bc2002_g11061.t1
OG0000085	acastellanii_g1238.t1, acastellanii_g2499.t1, acastellanii_g11086.t1	bc2002_g2515.t1, bc2002_g3860.t1, bc2002_g4561.t1, bc2002_g12239.t3
OG0000091	acastellanii_g4765.t1	bc2002_g5925.t1
OG0000091	acastellanii_g7496.t1	bc2002_g2422.t1
OG0000091	acastellanii_g1337.t1	bc2002_g12523.t1
OG0000091	acastellanii_g7077.t1	bc2002_g789.t1
OG0000091	acastellanii_g9199.t1, acastellanii_g10866.t1	bc2002_g12632.t2, bc2002_g12632.t1
OG0000092	acastellanii_g6066.t1, acastellanii_g3484.t1, acastellanii_g5561.t1, acastellanii_g5564.t1, acastellanii_g5559.t1	bc2002_g9453.t1, bc2002_g9453.t2, bc2002_g9453.t3, bc2002_g10311.t2, bc2002_g11883.t1, bc2002_g20079.t1
OG0000093	acastellanii_g6680.t1	bc2002_g12624.t1, bc2002_g12623.t1, bc2002_g8561.t1, bc2002_g7235.t1, bc2002_g4571.t1, bc2002_g10926.t1, bc2002_g83.t2, bc2002_g15553.t1, bc2002_g83.t1, bc2002_g7319.t1, bc2002_g9270.t1, bc2002_g8134.t1, bc2002_g3908.t1, bc2002_g1907.t1, bc2002_g16172.t1, bc2002_g4218.t1, bc2002_g20054.t1
OG0000099	acastellanii_g5646.t1	bc2002_g6637.t1
OG0000099	acastellanii_g3519.t1, acastellanii_g9224.t1, acastellanii_g3918.t1	bc2002_g18823.t1
OG0000107	acastellanii_g2122.t1	bc2002_g13366.t2, bc2002_g13366.t1
OG0000107	acastellanii_g6136.t1	bc2002_g16765.t2, bc2002_g16765.t1
OG0000107	acastellanii_g1565.t1, acastellanii_g357.t1	bc2002_g13348.t1, bc2002_g9403.t1, bc2002_g11972.t1, bc2002_g17025.t1
OG0000117	acastellanii_g14219.t1, acastellanii_g14219.t2	bc2002_g8010.t1
OG0000118	acastellanii_g372.t1	bc2002_g17093.t2, bc2002_g6139.t1, bc2002_g1533.t1, bc2002_g3599.t1, bc2002_g14193.t1, bc2002_g4480.t1, bc2002_g1516.t1, bc2002_g2575.t1, bc2002_g17964.t1, bc2002_g17093.t1, bc2002_g4124.t1, bc2002_g1411.t1, bc2002_g12702.t1, bc2002_g14688.t1, bc2002_g15707.t1, bc2002_g3001.t1, bc2002_g12020.t1
OG0000123	acastellanii_g9182.t1	bc2002_g9466.t1
OG0000123	acastellanii_g13234.t1	bc2002_g17924.t1
OG0000123	acastellanii_g953.t1	bc2002_g10481.t1
OG0000124	acastellanii_g5054.t2, acastellanii_g4361.t1, acastellanii_g5054.t1	bc2002_g1823.t1, bc2002_g1853.t1
OG0000124	acastellanii_g11567.t1	bc2002_g16477.t1
OG0000124	acastellanii_g11844.t1, acastellanii_g11844.t2	bc2002_g12603.t1
OG0000124	acastellanii_g5449.t2, acastellanii_g5449.t1	bc2002_g11811.t1
OG0000125	acastellanii_g11868.t1	bc2002_g9028.t2, bc2002_g9028.t1
OG0000126	acastellanii_g3820.t1, acastellanii_g3778.t1	bc2002_g9122.t1, bc2002_g6449.t1, bc2002_g6449.t2, bc2002_g8037.t1
OG0000127	acastellanii_g3489.t1	bc2002_g6684.t1
OG0000127	acastellanii_g1391.t1, acastellanii_g589.t1	bc2002_g5246.t1, bc2002_g19924.t1
OG0000147	acastellanii_g5769.t1, acastellanii_g5769.t2	bc2002_g18469.t1
OG0000147	acastellanii_g5643.t2, acastellanii_g5643.t1	bc2002_g12601.t1, bc2002_g12601.t2
OG0000153	acastellanii_g5416.t1, acastellanii_g5536.t1, acastellanii_g5536.t2, acastellanii_g788.t1, acastellanii_g776.t1, acastellanii_g3102.t1	bc2002_g18225.t1, bc2002_g1620.t1
OG0000160	acastellanii_g4300.t2, acastellanii_g4300.t1, acastellanii_g7628.t1	bc2002_g4407.t1
OG0000160	acastellanii_g2497.t1, acastellanii_g1235.t1	bc2002_g8794.t4, bc2002_g8794.t1, bc2002_g8794.t2
OG0000161	acastellanii_g2726.t1, acastellanii_g2740.t1	bc2002_g12764.t1
OG0000161	acastellanii_g9623.t1, acastellanii_g5929.t1, acastellanii_g10722.t1, acastellanii_g3422.t1, acastellanii_g1983.t2, acastellanii_g1983.t1, acastellanii_g12181.t1	bc2002_g12444.t2, bc2002_g17154.t1, bc2002_g17703.t1, bc2002_g3521.t1
OG0000162	acastellanii_g5170.t1	bc2002_g18220.t1, bc2002_g8825.t1
OG0000162	acastellanii_g6076.t1	bc2002_g9611.t2, bc2002_g9707.t1, bc2002_g1433.t1, bc2002_g14640.t2, bc2002_g14640.t1
OG0000171	acastellanii_g14034.t1	bc2002_g14774.t1
OG0000171	acastellanii_g6384.t1, acastellanii_g604.t1	bc2002_g2363.t1
OG0000171	acastellanii_g11241.t2, acastellanii_g11241.t1	bc2002_g3269.t1
OG0000171	acastellanii_g5405.t1	bc2002_g2.t1
