gene,KO_ID
g97.t1,K14309
g97.t2,K14309
g99.t1,K14394
g100.t1,K22071
g106.t1,K01304
g108.t1,K04409
g111.t1,K08737
g116.t1,K22138
g117.t1,K22139
g119.t1,K01409
g121.t1,K13026
g124.t1,K13251
g125.t1,K09529
g128.t1,K02727
g131.t1,K01778
g133.t1,K05605
g135.t1,K02449
g137.t1,K08876
g137.t2,K08876
g140.t1,K00949
g146.t1,K03939
g148.t1,K14439
g151.t1,K00761
g152.t1,K04565
g156.t1,K10405
g159.t1,K14840
g161.t1,K08009
g162.t1,K15206
g169.t1,K00889
g172.t1,K09549
g174.t2,K05605
g177.t1,K01875
g178.t1,K14566
g182.t1,K01438
g185.t1,K05863
g191.t1,K03109
g198.t1,K11661
g200.t1,K00222
g201.t1,K13174
g202.t1,K02923
g203.t1,K02738
g203.t2,K02738
g205.t1,K08497
g206.t1,K18158
g207.t1,K08852
g207.t2,K08852
g224.t1,K00693
g226.t1,K03347
g227.t1,K22132
g229.t1,K03017
g229.t2,K03017
g230.t1,K10849
g239.t2,K25167
g248.t1,K15110
g251.t1,K12189
g254.t1,K12831
g256.t1,K19026
g261.t1,K01128
g265.t1,K22766
g266.t1,K08837
g267.t1,K17613
g275.t1,K08711
g276.t1,K05643
g280.t1,K06628
g284.t1,K17544
g284.t2,K17544
g288.t1,K21767
g290.t1,K25877
g291.t1,K02838
g293.t1,K11877
g294.t1,K06268
g294.t2,K06268
g296.t1,K08869
g298.t1,K10844
g307.t1,K07583
g308.t1,K13100
g326.t1,K09140
g327.t1,K00597
g330.t1,K07870
g332.t1,K12737
g335.t1,K13886
g339.t1,K10908
g343.t2,K20628
g354.t1,K11599
g356.t1,K13127
g358.t1,K12349
g359.t1,K00763
g360.t1,K15264
g363.t1,K14206
g364.t1,K10268
g365.t1,K02729
g370.t1,K03847
g382.t1,K11274
g382.t2,K11274
g388.t1,K25085
g390.t1,K00922
g394.t1,K15363
g395.t1,K18723
g398.t1,K01539
g408.t1,K07912
g410.t1,K27900
g411.t1,K04523
g413.t1,K17268
g415.t1,K15190
g420.t1,K20291
g424.t1,K00207
g429.t1,K06172
g431.t1,K03685
g432.t1,K11996
g433.t1,K05236
g434.t1,K13049
g449.t1,K04079
g450.t1,K11093
g457.t1,K03141
g458.t1,K17086
g461.t1,K00167
g463.t1,K06067
g467.t1,K01697
g471.t1,K17255
g474.t1,K23878
g476.t1,K15501
g476.t2,K15501
g478.t1,K23569
g483.t1,K00654
g485.t1,K00011
g488.t2,K13350
g500.t1,K08829
g501.t1,K03023
g502.t1,K15255
g504.t1,K24760
g505.t1,K17601
g507.t1,K02003
g508.t1,K25770
g511.t1,K14565
g511.t2,K14565
g513.t1,K13524
g518.t1,K02335
g518.t2,K02335
g519.t1,K17412
g521.t2,K20135
g522.t1,K16330
g529.t1,K19525
g532.t1,K09849
g532.t2,K09849
g534.t1,K11253
g537.t1,K00799
g543.t1,K01225
g549.t1,K03259
g552.t1,K01647
g556.t1,K02208
g559.t1,K08496
g560.t1,K09705
g561.t1,K01456
g561.t2,K01456
g576.t1,K18681
g580.t1,K03564
g581.t1,K01494
g583.t1,K03004
g584.t1,K10365
g587.t1,K10402
g587.t2,K10402
g588.t1,K12197
g589.t1,K01251
g591.t1,K26770
g604.t1,K01689
g606.t1,K10891
g608.t1,K24399
g610.t1,K22390
g617.t2,K03845
g619.t1,K10393
g619.t2,K10393
g620.t1,K01099
g641.t1,K08860
g643.t1,K16803
g644.t1,K02134
g651.t1,K15422
g654.t1,K00323
