Geneid,KO_ID
g1,
g2,
g3,
g4,
g5,
g6,
g7,
g8,
g9,
g10,
g11,
g12,
g13,
g14,
g15,
g16,
g17,
g17,
g18,K03327
g19,K01885
g20,K11390
g21,K19839
g22,K20184
g23,
g24,
g25,K07298
g26,K01975
g27,K01307
g27,
g27,K01307
g28,
g29,
g30,
g31,
g32,
g33,K22857
g34,K17430
g35,
g36,
g37,
g38,
g39,
g40,
g41,K10798
g41,K10798
g42,
g43,
g43,
g44,K05991
g45,K11778
g46,K00858
g46,
g47,
g47,
g48,K23902
g49,
g50,K25202
g51,K12261
g52,K03844
g53,
g54,K01279
g55,
g56,
g57,K03849
g58,
g59,
g60,K15502
g61,
g62,K12184
g63,K03263
g64,K17686
g65,K08585
g66,K15378
g67,K19584
g68,K13337
g68,K13337
g69,
g69,
g70,K05956
g71,K01001
g72,K03241
g73,
g74,
g75,
g76,K03125
g77,K24727
g77,K24727
g78,K06620
g79,
g80,
g81,K01412
g82,
g83,K23504
g83,K23504
g84,
g85,K12181
g86,
g87,K15030
g88,
g89,
g89,K09494
g90,
g91,
g92,K07152
g93,
g94,K12852
g94,K12852
g94,
g95,K05094
g96,
g97,K02608
g98,K23790
g99,
g100,
g101,
g102,
g103,
g104,K15014
g104,
g105,
g106,
g107,
g108,
g109,
g110,
g111,
g112,
g113,
g114,
g115,
g116,
g117,
g118,
g119,
g120,
g121,
g122,
g123,
g124,
g125,K02835
g126,K02866
g126,K02866
g127,K01309
g128,K06699
g129,K01182
g130,
g131,
g132,K22133
g132,K22133
g133,
g133,
g134,K00869
g135,
g136,K16601
g137,K18470
g137,K18470
g137,K18470
g138,K15447
g138,K15447
g139,
g140,K22138
g141,K05106
g142,
g143,K12393
g144,K06911
g145,K22139
g146,
g147,
g148,
g149,
g150,
g151,
g152,
g152,K01477
g153,
g154,K07127
g154,K07127
g155,K03843
g156,
g157,K04427
g158,K17292
g158,
g158,K17292
g159,
g159,
g160,
g161,
g162,
g163,
g164,
g165,
g166,
g167,
g168,
g169,
g170,
g171,
g172,
g173,
g173,
g174,
g175,
g176,
g177,
g178,
g179,
g180,
g181,
g182,
g183,
g184,
g185,
g186,
g186,
g187,
g188,
g189,
g190,
g191,
g192,
g193,
g194,
g195,K08869
g195,K08869
g195,K08869
g196,K00597
g197,K10586
g198,K03327
g199,
g200,
g201,
g202,
g203,
g204,
g205,
g206,
g207,
g208,
g209,
g210,K01425
g211,
g212,K05115
g213,
g214,K06619
g215,K27966
g216,K11294
g216,K11294
g217,K13412
g218,
g219,K20398
g220,K00365
g221,K13348
g222,K01466
g223,K01638
g224,
g225,
g226,
g227,
g228,
g229,
g230,
g230,
g230,
g231,
g232,
g233,K11877
g234,
g235,
g236,
g237,
g238,
g239,
g240,
g241,
g242,
g243,
g244,
g245,
g246,
g247,
g248,
g249,
g250,
g251,
g252,
g253,
g254,
g255,
g256,
g257,
g258,
g259,
g260,
g261,
g262,
g263,
g264,K04936
g265,
g266,
g267,
g268,
g269,
g270,
g271,
g272,
g273,
g274,
g275,
g276,
g277,K27084
g277,K27084
g278,
g278,
g279,
g280,
g281,
g282,
g283,
g284,
g285,
g286,
g287,
g288,K13728
g289,K05986
g290,
g291,
g291,
g292,
g293,K12380
g294,
g294,
g295,K08671
g295,K08671
g296,K10086
g297,
g298,
g298,
g299,
g300,K07320
g301,
g302,
g303,
g304,
g305,K19539
g306,
g307,
g308,
g309,
g310,K11253
g311,K03754
g312,
g313,
g314,
g315,
g316,
g317,
g318,
g319,
g320,
g321,
g322,K27389
g323,
g324,
g325,
g326,
g326,
g326,
g327,
g327,
g328,
g329,
g330,K12196
g331,K04456
g332,
g333,K08592
g334,
g335,
g336,
g337,
