Orthogroup	vvermcdc19_braker	bc2002_braker
OG0000001	vverm_g10611.t1	bc2002_g11785.t1, bc2002_g11918.t1
OG0000001	vverm_g2213.t2, vverm_g2213.t1, vverm_g3070.t1, vverm_g3070.t2	bc2002_g5561.t1, bc2002_g2670.t1
OG0000001	vverm_g1505.t3	bc2002_g11595.t1, bc2002_g6140.t1, bc2002_g3485.t1, bc2002_g3488.t1, bc2002_g1689.t1, bc2002_g19066.t1, bc2002_g12895.t1, bc2002_g12893.t1, bc2002_g10627.t1, bc2002_g8015.t1, bc2002_g13344.t1, bc2002_g2326.t1, bc2002_g13931.t1, bc2002_g963.t1, bc2002_g5669.t1, bc2002_g5669.t2, bc2002_g2810.t1, bc2002_g3176.t1, bc2002_g12205.t1, bc2002_g14236.t1, bc2002_g5250.t1, bc2002_g595.t1, bc2002_g512.t1, bc2002_g15159.t1, bc2002_g14201.t1, bc2002_g8611.t1, bc2002_g16336.t1, bc2002_g19797.t1, bc2002_g19669.t1, bc2002_g15089.t1, bc2002_g728.t1, bc2002_g19654.t1, bc2002_g18431.t1, bc2002_g140.t1, bc2002_g7349.t1, bc2002_g9111.t1, bc2002_g2596.t1
OG0000001	vverm_g2611.t2	bc2002_g16527.t2, bc2002_g7589.t1, bc2002_g16668.t1, bc2002_g1987.t1, bc2002_g15077.t1, bc2002_g1674.t1, bc2002_g1674.t2, bc2002_g12283.t1, bc2002_g4232.t1, bc2002_g17766.t1, bc2002_g2963.t1, bc2002_g10169.t1, bc2002_g10151.t1, bc2002_g12170.t1, bc2002_g2038.t1, bc2002_g2072.t1, bc2002_g18599.t1, bc2002_g7984.t1, bc2002_g9820.t1, bc2002_g8747.t1, bc2002_g714.t1, bc2002_g714.t2, bc2002_g10600.t1, bc2002_g4524.t1, bc2002_g8530.t1, bc2002_g13159.t1, bc2002_g5573.t1, bc2002_g3991.t1, bc2002_g15370.t1, bc2002_g10426.t1, bc2002_g1392.t1, bc2002_g15327.t1, bc2002_g14111.t1, bc2002_g537.t1, bc2002_g4035.t1
OG0000001	vverm_g1112.t1, vverm_g1338.t1	bc2002_g13963.t1, bc2002_g15282.t1
OG0000003	vverm_g15420.t1	bc2002_g13890.t1
OG0000003	vverm_g1517.t1	bc2002_g18581.t1, bc2002_g2544.t1, bc2002_g19316.t1, bc2002_g15276.t1, bc2002_g6555.t1, bc2002_g302.t1, bc2002_g11206.t1, bc2002_g1543.t1, bc2002_g3004.t1, bc2002_g3004.t2, bc2002_g17091.t1, bc2002_g4096.t1, bc2002_g13649.t1, bc2002_g1864.t2, bc2002_g1864.t1, bc2002_g5044.t1, bc2002_g1448.t2, bc2002_g871.t1, bc2002_g3847.t1, bc2002_g3591.t1, bc2002_g19129.t2, bc2002_g19129.t1, bc2002_g19129.t3, bc2002_g580.t1, bc2002_g9747.t1, bc2002_g19973.t1, bc2002_g19574.t1, bc2002_g10623.t1, bc2002_g8703.t1, bc2002_g17361.t1, bc2002_g1552.t1, bc2002_g5957.t1, bc2002_g15040.t1, bc2002_g8145.t1, bc2002_g9837.t1, bc2002_g1934.t1, bc2002_g7337.t1, bc2002_g2293.t2, bc2002_g2293.t1, bc2002_g13098.t1, bc2002_g1764.t1, bc2002_g13702.t1, bc2002_g11092.t1, bc2002_g8183.t1, bc2002_g6268.t1, bc2002_g2503.t1
OG0000008	vverm_g1762.t1	bc2002_g1441.t1, bc2002_g13844.t1, bc2002_g14848.t1, bc2002_g5903.t1, bc2002_g235.t1, bc2002_g9920.t1, bc2002_g11752.t1, bc2002_g14948.t1, bc2002_g10851.t1, bc2002_g13796.t1, bc2002_g16216.t1, bc2002_g2290.t1, bc2002_g16915.t1, bc2002_g10565.t1, bc2002_g15808.t1, bc2002_g7238.t1, bc2002_g7228.t1, bc2002_g5900.t1, bc2002_g7233.t1, bc2002_g1119.t1, bc2002_g182.t1, bc2002_g9327.t1, bc2002_g205.t1, bc2002_g11889.t1, bc2002_g15375.t1, bc2002_g9253.t1, bc2002_g2118.t1
OG0000012	vverm_g12773.t1	bc2002_g11083.t1
OG0000012	vverm_g928.t1	bc2002_g250.t1
OG0000012	vverm_g4446.t1, vverm_g8258.t1	bc2002_g775.t1, bc2002_g10879.t1, bc2002_g5695.t1
OG0000012	vverm_g5392.t1, vverm_g16666.t1	bc2002_g5690.t1
OG0000020	vverm_g252.t1, vverm_g15641.t2, vverm_g15641.t1	bc2002_g14977.t1
OG0000020	vverm_g867.t3	bc2002_g325.t1
OG0000020	vverm_g243.t1, vverm_g243.t2, vverm_g4971.t1, vverm_g4971.t2	bc2002_g16498.t1
OG0000020	vverm_g13305.t1, vverm_g7402.t1, vverm_g8539.t2, vverm_g8539.t1	bc2002_g4567.t1, bc2002_g4567.t2
