Orthogroup	Species	dicty_braker	Orthologs
OG0000003	vvermcdc19_braker	dicty_g10817.t1	vverm_g15420.t1, vverm_g1517.t1, vverm_g14595.t2
OG0000003	acastellanii_braker	dicty_g10817.t1	acastellanii_g6152.t1, acastellanii_g196.t1, acastellanii_g196.t2
OG0000003	bc2002_braker	dicty_g10817.t1	bc2002_g13890.t1, bc2002_g18581.t1, bc2002_g2544.t1, bc2002_g19316.t1, bc2002_g15276.t1, bc2002_g6555.t1, bc2002_g302.t1, bc2002_g11206.t1, bc2002_g1543.t1, bc2002_g3004.t1, bc2002_g3004.t2, bc2002_g17091.t1, bc2002_g4096.t1, bc2002_g13649.t1, bc2002_g1864.t2, bc2002_g1864.t1, bc2002_g5044.t1, bc2002_g1448.t2, bc2002_g871.t1, bc2002_g3847.t1, bc2002_g3591.t1, bc2002_g19129.t2, bc2002_g19129.t1, bc2002_g19129.t3, bc2002_g580.t1, bc2002_g9747.t1, bc2002_g19973.t1, bc2002_g19574.t1, bc2002_g10623.t1, bc2002_g8703.t1, bc2002_g17361.t1, bc2002_g1552.t1, bc2002_g5957.t1, bc2002_g15040.t1, bc2002_g8145.t1, bc2002_g9837.t1, bc2002_g1934.t1, bc2002_g7337.t1, bc2002_g2293.t2, bc2002_g2293.t1, bc2002_g13098.t1, bc2002_g1764.t1, bc2002_g13702.t1, bc2002_g11092.t1, bc2002_g8183.t1, bc2002_g6268.t1, bc2002_g2503.t1
OG0000003	bc2001_braker	dicty_g10817.t1	bc2001_g7453.t2, bc2001_g7453.t1, bc2001_g705.t1, bc2001_g4942.t1, bc2001_g6841.t1, bc2001_g13300.t1, bc2001_g7804.t1, bc2001_g1568.t1, bc2001_g18927.t1, bc2001_g13621.t3, bc2001_g13621.t2, bc2001_g13621.t4, bc2001_g13621.t1, bc2001_g15322.t1, bc2001_g9468.t1, bc2001_g9468.t2, bc2001_g3150.t1, bc2001_g13640.t1, bc2001_g741.t1, bc2001_g17425.t2, bc2001_g17425.t1, bc2001_g6401.t1, bc2001_g10730.t1, bc2001_g1528.t1, bc2001_g4187.t1, bc2001_g14194.t1, bc2001_g14194.t2, bc2001_g18697.t1, bc2001_g3458.t1, bc2001_g3768.t1, bc2001_g14971.t1, bc2001_g13055.t1, bc2001_g7309.t1, bc2001_g12524.t1, bc2001_g17576.t1, bc2001_g3519.t1, bc2001_g13055.t2, bc2001_g9957.t1, bc2001_g16451.t1, bc2001_g19026.t1, bc2001_g17672.t1, bc2001_g17981.t1, bc2001_g1489.t1, bc2001_g19615.t1, bc2001_g4724.t1, bc2001_g18738.t1, bc2001_g13039.t1, bc2001_g8798.t1, bc2001_g9479.t1, bc2001_g14971.t3, bc2001_g14971.t2, bc2001_g6213.t1, bc2001_g3768.t2, bc2001_g13176.t1, bc2001_g17267.t1, bc2001_g6472.t1, bc2001_g6583.t1, bc2001_g7918.t1, bc2001_g1489.t2, bc2001_g9773.t1, bc2001_g9773.t2, bc2001_g10699.t1, bc2001_g634.t1, bc2001_g11118.t1, bc2001_g9572.t1, bc2001_g9572.t2, bc2001_g397.t1, bc2001_g1898.t1, bc2001_g2442.t1, bc2001_g6328.t1, bc2001_g14867.t1, bc2001_g11965.t1, bc2001_g14187.t1, bc2001_g4658.t1, bc2001_g9184.t1, bc2001_g16023.t1, bc2001_g917.t1, bc2001_g19493.t1, bc2001_g19212.t3, bc2001_g19212.t2
OG0000012	bc2002_braker	dicty_g9325.t1	bc2002_g11083.t1
OG0000012	bc2001_braker	dicty_g9325.t1	bc2001_g14176.t2, bc2001_g14176.t1
OG0000012	vvermcdc19_braker	dicty_g9325.t1	vverm_g12773.t1
OG0000012	acastellanii_braker	dicty_g9325.t1	acastellanii_g11603.t1
OG0000012	acastellanii_braker	dicty_g7352.t1	acastellanii_g8418.t1
OG0000012	vvermcdc19_braker	dicty_g7352.t1	vverm_g6937.t1, vverm_g16860.t1
