Orthogroup	bc2001_braker	bc2002_braker
OG0000000	bc2001_g16043.t1	bc2002_g19272.t1
OG0000000	bc2001_g13992.t1	bc2002_g10904.t1
OG0000000	bc2001_g1086.t1	bc2002_g11778.t1
OG0000000	bc2001_g15202.t1	bc2002_g4245.t1
OG0000000	bc2001_g4233.t1	bc2002_g10904.t2, bc2002_g2696.t1
OG0000000	bc2001_g8563.t1	bc2002_g17115.t1
OG0000000	bc2001_g6208.t1	bc2002_g12958.t1
OG0000000	bc2001_g13369.t1	bc2002_g15436.t1
OG0000000	bc2001_g3261.t1	bc2002_g12739.t1
OG0000000	bc2001_g3379.t1	bc2002_g7150.t1
OG0000000	bc2001_g16010.t1	bc2002_g448.t1
OG0000000	bc2001_g11038.t1	bc2002_g5235.t1
OG0000000	bc2001_g12070.t1	bc2002_g2453.t1
OG0000000	bc2001_g10775.t1	bc2002_g9337.t1
OG0000000	bc2001_g7848.t1	bc2002_g11935.t1
OG0000000	bc2001_g7485.t1	bc2002_g13920.t1
OG0000000	bc2001_g12973.t1	bc2002_g7677.t1
OG0000000	bc2001_g7605.t1	bc2002_g14048.t1
OG0000000	bc2001_g18159.t1	bc2002_g15851.t1
OG0000000	bc2001_g18895.t1	bc2002_g3809.t1
OG0000000	bc2001_g13384.t1	bc2002_g15351.t1
OG0000000	bc2001_g5935.t1	bc2002_g1104.t1
OG0000000	bc2001_g11466.t1	bc2002_g12613.t1
OG0000000	bc2001_g5722.t1	bc2002_g10733.t1
OG0000000	bc2001_g14506.t1	bc2002_g5048.t1
OG0000000	bc2001_g7313.t1	bc2002_g19897.t1
OG0000000	bc2001_g8199.t1	bc2002_g278.t1
OG0000000	bc2001_g36.t1, bc2001_g15076.t1, bc2001_g6899.t1	bc2002_g8856.t1
OG0000000	bc2001_g6887.t1	bc2002_g19017.t1
OG0000000	bc2001_g18701.t1	bc2002_g1742.t1
OG0000000	bc2001_g19342.t1, bc2001_g17727.t1, bc2001_g1.t1	bc2002_g13413.t1, bc2002_g8893.t1
OG0000000	bc2001_g1705.t1	bc2002_g3186.t1
OG0000000	bc2001_g18923.t1	bc2002_g3838.t1
OG0000000	bc2001_g8588.t1	bc2002_g17143.t1
OG0000000	bc2001_g12096.t1	bc2002_g12272.t1
OG0000000	bc2001_g13155.t1	bc2002_g19597.t1
OG0000000	bc2001_g1811.t1	bc2002_g3995.t1
OG0000000	bc2001_g4161.t1	bc2002_g18008.t1
OG0000000	bc2001_g18363.t1	bc2002_g16061.t1
OG0000000	bc2001_g3030.t1	bc2002_g11803.t1
OG0000000	bc2001_g5352.t1, bc2001_g755.t1, bc2001_g258.t1	bc2002_g4107.t1, bc2002_g14338.t1, bc2002_g6885.t1
OG0000000	bc2001_g2879.t1	bc2002_g11529.t1
OG0000000	bc2001_g12863.t1	bc2002_g8239.t1, bc2002_g16922.t1
OG0000000	bc2001_g10111.t1	bc2002_g2925.t1
OG0000000	bc2001_g14232.t1	bc2002_g18367.t1
OG0000000	bc2001_g12733.t1	bc2002_g15318.t1
OG0000000	bc2001_g1608.t1	bc2002_g15338.t1
OG0000000	bc2001_g10338.t1	bc2002_g15819.t1
OG0000000	bc2001_g10180.t1	bc2002_g16850.t1
OG0000000	bc2001_g19409.t1	bc2002_g2808.t1
OG0000000	bc2001_g3340.t1, bc2001_g19307.t1	bc2002_g1244.t1
OG0000000	bc2001_g18291.t1	bc2002_g15985.t1
OG0000000	bc2001_g2840.t1	bc2002_g11484.t1
OG0000000	bc2001_g6514.t1	bc2002_g10670.t1
OG0000000	bc2001_g18821.t1	bc2002_g4557.t1
OG0000000	bc2001_g1676.t1	bc2002_g3146.t1
